"B_demag.region2_zrange299_:0","B_demag.region2_zrange299_:1","B_demag.region2_zrange299_:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.429e-05,-2.0933e-06,0.014412,1,0,0,1.19e-07,0
9.0558e-05,-2.1175e-06,0.014411,1,2.38e-10,2.38e-10,1.19e-07,0
0.00010683,-2.1417e-06,0.01441,1,4.76e-10,4.76e-10,1.19e-07,0
0.0001231,-2.1659e-06,0.01441,1,7.14e-10,7.14e-10,1.19e-07,0
0.00013936,-2.1901e-06,0.014409,1,9.52e-10,9.52e-10,1.19e-07,0
0.00015563,-2.2143e-06,0.014408,1,1.19e-09,1.19e-09,1.19e-07,0
0.0001719,-2.2385e-06,0.014407,1,1.428e-09,1.428e-09,1.19e-07,0
0.00018817,-2.2627e-06,0.014406,1,1.666e-09,1.666e-09,1.19e-07,0
0.00020444,-2.2869e-06,0.014405,1,1.904e-09,1.904e-09,1.19e-07,0
0.00022069,-2.3116e-06,0.014404,1,2.142e-09,2.142e-09,1.19e-07,0
0.00023692,-2.3366e-06,0.014402,1,2.38e-09,2.38e-09,1.19e-07,0
0.00025316,-2.3616e-06,0.0144,1,2.618e-09,2.618e-09,1.19e-07,0
0.00026939,-2.3867e-06,0.014398,1,2.856e-09,2.856e-09,1.19e-07,0
0.00028563,-2.4117e-06,0.014396,1,3.094e-09,3.094e-09,1.19e-07,0
0.00030187,-2.4367e-06,0.014395,1,3.332e-09,3.332e-09,1.19e-07,0
0.0003181,-2.4617e-06,0.014393,1,3.57e-09,3.57e-09,1.19e-07,0
0.00033434,-2.4868e-06,0.014391,1,3.808e-09,3.808e-09,1.19e-07,0
0.00035056,-2.5119e-06,0.014389,1,4.046e-09,4.046e-09,1.19e-07,0
0.00036674,-2.5378e-06,0.014386,1,4.284e-09,4.284e-09,1.19e-07,0
0.00038291,-2.5637e-06,0.014384,1,4.522e-09,4.522e-09,1.19e-07,0
0.00039908,-2.5895e-06,0.014381,1,4.76e-09,4.76e-09,1.19e-07,0
0.00041526,-2.6154e-06,0.014378,1,4.998e-09,4.998e-09,1.19e-07,0
0.00043143,-2.6412e-06,0.014376,1,5.236e-09,5.236e-09,1.19e-07,0
0.0004476,-2.6671e-06,0.014373,1,5.474e-09,5.474e-09,1.19e-07,0
0.00046378,-2.693e-06,0.01437,1,5.712e-09,5.712e-09,1.19e-07,0
0.00047995,-2.7188e-06,0.014368,1,5.95e-09,5.95e-09,1.19e-07,0
0.00049605,-2.7453e-06,0.014364,1,6.188e-09,6.188e-09,1.19e-07,0
0.00051213,-2.7721e-06,0.014361,1,6.426e-09,6.426e-09,1.19e-07,0
0.00052822,-2.7988e-06,0.014357,1,6.664e-09,6.664e-09,1.19e-07,0
0.0005443,-2.8255e-06,0.014354,1,6.902e-09,6.902e-09,1.19e-07,0
0.00056038,-2.8522e-06,0.01435,1,7.14e-09,7.14e-09,1.19e-07,0
0.00057646,-2.8789e-06,0.014346,1,7.378e-09,7.378e-09,1.19e-07,0
0.00059254,-2.9056e-06,0.014343,1,7.616e-09,7.616e-09,1.19e-07,0
0.00060862,-2.9323e-06,0.014339,1,7.854e-09,7.854e-09,1.19e-07,0
0.00062466,-2.9593e-06,0.014335,1,8.092e-09,8.092e-09,1.19e-07,0
0.00064062,-2.9869e-06,0.014331,1,8.33e-09,8.33e-09,1.19e-07,0
0.00065658,-3.0145e-06,0.014326,1,8.568e-09,8.568e-09,1.19e-07,0
0.00067254,-3.0421e-06,0.014322,1,8.806e-09,8.806e-09,1.19e-07,0
0.0006885,-3.0696e-06,0.014318,1,9.044e-09,9.044e-09,1.19e-07,0
0.00070446,-3.0972e-06,0.014313,1,9.282e-09,9.282e-09,1.19e-07,0
0.00072042,-3.1248e-06,0.014309,1,9.52e-09,9.52e-09,1.19e-07,0
0.00073638,-3.1524e-06,0.014304,1,9.758e-09,9.758e-09,1.19e-07,0
0.00075234,-3.1799e-06,0.0143,1,9.996e-09,9.996e-09,1.19e-07,0
0.00076815,-3.2084e-06,0.014294,1,1.0234e-08,1.0234e-08,1.19e-07,0
0.00078395,-3.2368e-06,0.014289,1,1.0472e-08,1.0472e-08,1.19e-07,0
0.00079976,-3.2653e-06,0.014284,1,1.071e-08,1.071e-08,1.19e-07,0
0.00081557,-3.2937e-06,0.014278,1,1.0948e-08,1.0948e-08,1.19e-07,0
0.00083137,-3.3222e-06,0.014273,1,1.1186e-08,1.1186e-08,1.19e-07,0
0.00084718,-3.3506e-06,0.014268,1,1.1424e-08,1.1424e-08,1.19e-07,0
0.00086299,-3.3791e-06,0.014262,1,1.1662e-08,1.1662e-08,1.19e-07,0
0.00087879,-3.4075e-06,0.014257,1,1.19e-08,1.19e-08,1.19e-07,0
0.00089449,-3.4365e-06,0.014251,1,1.2138e-08,1.2138e-08,1.19e-07,0
0.00091012,-3.4658e-06,0.014245,1,1.2376e-08,1.2376e-08,1.19e-07,0
0.00092574,-3.4951e-06,0.014239,1,1.2614e-08,1.2614e-08,1.19e-07,0
0.00094136,-3.5245e-06,0.014233,1,1.2852e-08,1.2852e-08,1.19e-07,0
0.00095699,-3.5538e-06,0.014226,1,1.309e-08,1.309e-08,1.19e-07,0
0.00097261,-3.5832e-06,0.01422,1,1.3328e-08,1.3328e-08,1.19e-07,0
0.00098823,-3.6125e-06,0.014214,1,1.3566e-08,1.3566e-08,1.19e-07,0
0.0010039,-3.6418e-06,0.014208,1,1.3804e-08,1.3804e-08,1.19e-07,0
0.0010194,-3.6713e-06,0.014201,1,1.4042e-08,1.4042e-08,1.19e-07,0
0.0010348,-3.7015e-06,0.014194,1,1.428e-08,1.428e-08,1.19e-07,0
0.0010503,-3.7318e-06,0.014187,1,1.4518e-08,1.4518e-08,1.19e-07,0
0.0010657,-3.762e-06,0.01418,1,1.4756e-08,1.4756e-08,1.19e-07,0
0.0010811,-3.7922e-06,0.014173,1,1.4994e-08,1.4994e-08,1.19e-07,0
0.0010965,-3.8225e-06,0.014166,1,1.5232e-08,1.5232e-08,1.19e-07,0
0.0011119,-3.8527e-06,0.014159,1,1.547e-08,1.547e-08,1.19e-07,0
0.0011273,-3.8829e-06,0.014152,1,1.5708e-08,1.5708e-08,1.19e-07,0
0.0011427,-3.9131e-06,0.014145,1,1.5946e-08,1.5946e-08,1.19e-07,0
0.0011579,-3.9441e-06,0.014137,1,1.6184e-08,1.6184e-08,1.19e-07,0
0.0011731,-3.9752e-06,0.014129,1,1.6422e-08,1.6422e-08,1.19e-07,0
0.0011882,-4.0063e-06,0.014121,1,1.666e-08,1.666e-08,1.19e-07,0
0.0012034,-4.0374e-06,0.014113,1,1.6898e-08,1.6898e-08,1.19e-07,0
0.0012186,-4.0685e-06,0.014105,1,1.7136e-08,1.7136e-08,1.19e-07,0
0.0012337,-4.0997e-06,0.014097,1,1.7374e-08,1.7374e-08,1.19e-07,0
0.0012489,-4.1308e-06,0.014089,1,1.7612e-08,1.7612e-08,1.19e-07,0
0.001264,-4.1619e-06,0.014081,1,1.785e-08,1.785e-08,1.19e-07,0
0.0012791,-4.1933e-06,0.014073,1,1.8088e-08,1.8088e-08,1.19e-07,0
0.001294,-4.2254e-06,0.014064,1,1.8326e-08,1.8326e-08,1.19e-07,0
0.0013089,-4.2574e-06,0.014055,1,1.8564e-08,1.8564e-08,1.19e-07,0
0.0013237,-4.2894e-06,0.014046,1,1.8802e-08,1.8802e-08,1.19e-07,0
0.0013386,-4.3214e-06,0.014037,1,1.904e-08,1.904e-08,1.19e-07,0
0.0013535,-4.3534e-06,0.014029,1,1.9278e-08,1.9278e-08,1.19e-07,0
0.0013684,-4.3854e-06,0.01402,1,1.9516e-08,1.9516e-08,1.19e-07,0
0.0013833,-4.4174e-06,0.014011,1,1.9754e-08,1.9754e-08,1.19e-07,0
0.0013981,-4.4494e-06,0.014002,1,1.9992e-08,1.9992e-08,1.19e-07,0
0.0014127,-4.4823e-06,0.013992,1,2.023e-08,2.023e-08,1.19e-07,0
0.0014273,-4.5152e-06,0.013983,1,2.0468e-08,2.0468e-08,1.19e-07,0
0.0014418,-4.5481e-06,0.013973,1,2.0706e-08,2.0706e-08,1.19e-07,0
0.0014564,-4.5809e-06,0.013963,1,2.0944e-08,2.0944e-08,1.19e-07,0
0.001471,-4.6138e-06,0.013954,1,2.1182e-08,2.1182e-08,1.19e-07,0
