"B_demag.region2_zrange299_:0","B_demag.region2_zrange299_:1","B_demag.region2_zrange299_:2","Points:0","Points:1","Points:2"
1.1074e-05,2.8044e-05,0.016164,0,0,0
6.7147e-05,2.8158e-05,0.016163,2e-09,0,0
0.00012304,2.8317e-05,0.01616,4e-09,0,0
0.00017862,2.8521e-05,0.016154,6e-09,0,0
0.00023373,2.8771e-05,0.016146,8e-09,0,0
0.00028824,2.9066e-05,0.016136,1e-08,0,0
0.00034201,2.9405e-05,0.016124,1.2e-08,0,0
0.0003949,2.9787e-05,0.016109,1.4e-08,0,0
0.00044676,3.0213e-05,0.016093,1.6e-08,0,0
0.00049746,3.0681e-05,0.016074,1.8e-08,0,0
0.00054687,3.1191e-05,0.016054,2e-08,0,0
0.00059485,3.1741e-05,0.016032,2.2e-08,0,0
0.00064127,3.2331e-05,0.016007,2.4e-08,0,0
0.000686,3.296e-05,0.015981,2.6e-08,0,0
0.00072891,3.3626e-05,0.015953,2.8e-08,0,0
0.00076988,3.4329e-05,0.015923,3e-08,0,0
0.0008088,3.5066e-05,0.015892,3.2e-08,0,0
0.00084553,3.5837e-05,0.015859,3.4e-08,0,0
0.00087998,3.6639e-05,0.015824,3.6e-08,0,0
0.00091202,3.7472e-05,0.015788,3.8e-08,0,0
0.00094156,3.8332e-05,0.015751,4e-08,0,0
0.0009685,3.9219e-05,0.015712,4.2e-08,0,0
0.00099274,4.013e-05,0.015672,4.4e-08,0,0
0.0010142,4.1062e-05,0.015631,4.6e-08,0,0
0.0010328,4.2015e-05,0.015589,4.8e-08,0,0
0.0010484,4.2985e-05,0.015547,5e-08,0,0
0.0010611,4.3969e-05,0.015503,5.2e-08,0,0
0.0010707,4.4966e-05,0.015459,5.4e-08,0,0
0.0010771,4.5973e-05,0.015414,5.6e-08,0,0
0.0010804,4.6986e-05,0.015369,5.8e-08,0,0
0.0010805,4.8004e-05,0.015324,6e-08,0,0
0.0010774,4.9023e-05,0.015279,6.2e-08,0,0
0.0010711,5.0041e-05,0.015234,6.4e-08,0,0
0.0010616,5.1053e-05,0.015189,6.6e-08,0,0
0.0010489,5.2059e-05,0.015144,6.8e-08,0,0
0.0010331,5.3054e-05,0.0151,7e-08,0,0
0.0010142,5.4035e-05,0.015057,7.2e-08,0,0
