"B_demag.region2_zrange299_:0","B_demag.region2_zrange299_:1","B_demag.region2_zrange299_:2","Points:0","Points:1","Points:2"
6.3362e-05,4.318e-05,0.016352,0,0,0
0.0001531,4.3172e-05,0.016348,2e-09,0,0
0.00024244,4.3226e-05,0.016341,4e-09,0,0
0.00033114,4.3342e-05,0.016329,6e-09,0,0
0.00041898,4.3519e-05,0.016315,8e-09,0,0
0.00050573,4.3759e-05,0.016296,1e-08,0,0
0.00059117,4.4059e-05,0.016275,1.2e-08,0,0
0.00067506,4.442e-05,0.01625,1.4e-08,0,0
0.0007572,4.484e-05,0.016221,1.6e-08,0,0
0.00083735,4.532e-05,0.01619,1.8e-08,0,0
0.00091531,4.5857e-05,0.016155,2e-08,0,0
0.00099086,4.6452e-05,0.016117,2.2e-08,0,0
0.0010638,4.7103e-05,0.016075,2.4e-08,0,0
0.0011339,4.7808e-05,0.016031,2.6e-08,0,0
0.0012009,4.8566e-05,0.015984,2.8e-08,0,0
0.0012648,4.9377e-05,0.015935,3e-08,0,0
0.0013252,5.0237e-05,0.015882,3.2e-08,0,0
0.0013821,5.1146e-05,0.015827,3.4e-08,0,0
0.0014351,5.2102e-05,0.01577,3.6e-08,0,0
0.0014842,5.3102e-05,0.01571,3.8e-08,0,0
0.0015292,5.4145e-05,0.015648,4e-08,0,0
0.00157,5.5227e-05,0.015584,4.2e-08,0,0
0.0016063,5.6347e-05,0.015519,4.4e-08,0,0
0.0016382,5.7503e-05,0.015452,4.6e-08,0,0
0.0016653,5.8691e-05,0.015383,4.8e-08,0,0
0.0016877,5.9909e-05,0.015313,5e-08,0,0
0.0017053,6.1153e-05,0.015243,5.2e-08,0,0
0.0017179,6.2422e-05,0.015171,5.4e-08,0,0
0.0017256,6.3712e-05,0.015099,5.6e-08,0,0
0.0017283,6.5019e-05,0.015026,5.8e-08,0,0
0.0017259,6.6341e-05,0.014954,6e-08,0,0
0.0017186,6.7674e-05,0.014881,6.2e-08,0,0
0.0017064,6.9016e-05,0.014809,6.4e-08,0,0
0.0016893,7.0361e-05,0.014738,6.6e-08,0,0
0.0016675,7.1707e-05,0.014668,6.8e-08,0,0
0.0016412,7.3051e-05,0.014599,7e-08,0,0
0.0016104,7.4387e-05,0.014531,7.2e-08,0,0
0.0015754,7.5713e-05,0.014464,7.4e-08,0,0
0.0015362,7.7024e-05,0.014399,7.6e-08,0,0
0.0014931,7.8314e-05,0.014336,7.8e-08,0,0
0.001446,7.9581e-05,0.014274,8e-08,0,0
0.0013952,8.082e-05,0.014214,8.2e-08,0,0
0.0013406,8.2026e-05,0.014156,8.4e-08,0,0
0.0012825,8.3196e-05,0.0141,8.6e-08,0,0
0.0012208,8.4326e-05,0.014046,8.8e-08,0,0
0.0011557,8.5413e-05,0.013994,9e-08,0,0
0.0010874,8.6451e-05,0.013945,9.2e-08,0,0
0.0010159,8.7439e-05,0.013899,9.4e-08,0,0
0.00094148,8.8373e-05,0.013856,9.6e-08,0,0
0.00086429,8.9249e-05,0.013816,9.8e-08,0,0
0.00078452,9.0065e-05,0.013779,1e-07,0,0
0.00070239,9.0818e-05,0.013745,1.02e-07,0,0
0.00061813,9.1506e-05,0.013715,1.04e-07,0,0
0.00053197,9.2125e-05,0.013689,1.06e-07,0,0
0.00044417,9.2674e-05,0.013666,1.08e-07,0,0
0.00035499,9.3151e-05,0.013647,1.1e-07,0,0
0.00026469,9.3554e-05,0.013632,1.12e-07,0,0
0.00017355,9.3882e-05,0.013621,1.14e-07,0,0
8.1835e-05,9.4134e-05,0.013614,1.16e-07,0,0
-1.0163e-05,9.4308e-05,0.013611,1.18e-07,0,0
-0.00010216,9.4404e-05,0.013612,1.2e-07,0,0
-0.00019389,9.4422e-05,0.013617,1.22e-07,0,0
-0.00028506,9.4361e-05,0.013626,1.24e-07,0,0
-0.00037539,9.4222e-05,0.013638,1.26e-07,0,0
-0.00046462,9.4005e-05,0.013655,1.28e-07,0,0
-0.00055247,9.3711e-05,0.013676,1.3e-07,0,0
-0.00063868,9.3341e-05,0.0137,1.32e-07,0,0
-0.00072301,9.2896e-05,0.013728,1.34e-07,0,0
-0.00080521,9.2378e-05,0.01376,1.36e-07,0,0
-0.00088504,9.1788e-05,0.013795,1.38e-07,0,0
-0.00096229,9.1129e-05,0.013834,1.4e-07,0,0
-0.0010367,9.0403e-05,0.013875,1.42e-07,0,0
-0.0011082,8.9613e-05,0.01392,1.44e-07,0,0
-0.0011765,8.876e-05,0.013968,1.46e-07,0,0
-0.0012415,8.7848e-05,0.014018,1.48e-07,0,0
-0.001303,8.688e-05,0.014071,1.5e-07,0,0
-0.0013609,8.5859e-05,0.014126,1.52e-07,0,0
-0.0014151,8.4789e-05,0.014183,1.54e-07,0,0
-0.0014655,8.3672e-05,0.014242,1.56e-07,0,0
-0.0015121,8.2513e-05,0.014303,1.58e-07,0,0
-0.0015547,8.1316e-05,0.014366,1.6e-07,0,0
-0.0015933,8.0085e-05,0.01443,1.62e-07,0,0
-0.0016279,7.8823e-05,0.014495,1.64e-07,0,0
-0.0016583,7.7536e-05,0.014562,1.66e-07,0,0
-0.0016845,7.6227e-05,0.01463,1.68e-07,0,0
-0.0017063,7.4902e-05,0.014699,1.7e-07,0,0
-0.0017237,7.3563e-05,0.014769,1.72e-07,0,0
-0.0017365,7.2216e-05,0.01484,1.74e-07,0,0
-0.0017446,7.0864e-05,0.014911,1.76e-07,0,0
-0.001748,6.9512e-05,0.014983,1.78e-07,0,0
-0.0017465,6.8162e-05,0.015055,1.8e-07,0,0
-0.0017401,6.6819e-05,0.015127,1.82e-07,0,0
-0.0017289,6.5486e-05,0.015198,1.84e-07,0,0
-0.0017128,6.4166e-05,0.015269,1.86e-07,0,0
-0.0016919,6.2863e-05,0.015339,1.88e-07,0,0
-0.0016663,6.158e-05,0.015408,1.9e-07,0,0
-0.0016361,6.0321e-05,0.015476,1.92e-07,0,0
-0.0016013,5.9088e-05,0.015542,1.94e-07,0,0
-0.0015622,5.7884e-05,0.015607,1.96e-07,0,0
-0.0015187,5.6712e-05,0.01567,1.98e-07,0,0
-0.0014712,5.5575e-05,0.015731,2e-07,0,0
-0.0014196,5.4476e-05,0.015789,2.02e-07,0,0
-0.0013643,5.3416e-05,0.015846,2.04e-07,0,0
-0.0013053,5.2399e-05,0.0159,2.06e-07,0,0
-0.0012429,5.1426e-05,0.015951,2.08e-07,0,0
-0.0011771,5.0499e-05,0.016,2.1e-07,0,0
-0.0011083,4.9621e-05,0.016046,2.12e-07,0,0
-0.0010366,4.8793e-05,0.016089,2.14e-07,0,0
-0.00096216,4.8017e-05,0.016129,2.16e-07,0,0
-0.00088524,4.7295e-05,0.016166,2.18e-07,0,0
-0.00080605,4.6627e-05,0.0162,2.2e-07,0,0
-0.00072479,4.6015e-05,0.016231,2.22e-07,0,0
-0.00064167,4.546e-05,0.016258,2.24e-07,0,0
-0.00055691,4.4964e-05,0.016282,2.26e-07,0,0
-0.00047074,4.4527e-05,0.016302,2.28e-07,0,0
-0.00038338,4.4149e-05,0.01632,2.3e-07,0,0
-0.00029506,4.3832e-05,0.016333,2.32e-07,0,0
-0.00020599,4.3577e-05,0.016343,2.34e-07,0,0
-0.00011641,4.3382e-05,0.01635,2.36e-07,0,0
-2.6553e-05,4.325e-05,0.016353,2.38e-07,0,0
6.3404e-05,0.0001342,0.016349,0,2e-09,0
0.00015328,0.00013443,0.016345,2e-09,2e-09,0
0.00024275,0.00013486,0.016337,4e-09,2e-09,0
0.00033158,0.00013549,0.016326,6e-09,2e-09,0
0.00041955,0.00013632,0.016311,8e-09,2e-09,0
0.00050643,0.00013736,0.016293,1e-08,2e-09,0
0.000592,0.00013859,0.016271,1.2e-08,2e-09,0
0.00067602,0.00014002,0.016246,1.4e-08,2e-09,0
0.00075829,0.00014164,0.016218,1.6e-08,2e-09,0
0.00083856,0.00014346,0.016186,1.8e-08,2e-09,0
0.00091664,0.00014547,0.016151,2e-08,2e-09,0
0.00099231,0.00014766,0.016113,2.2e-08,2e-09,0
0.0010653,0.00015003,0.016071,2.4e-08,2e-09,0
0.0011356,0.00015257,0.016027,2.6e-08,2e-09,0
0.0012027,0.00015529,0.01598,2.8e-08,2e-09,0
0.0012667,0.00015817,0.01593,3e-08,2e-09,0
0.0013272,0.00016122,0.015877,3.2e-08,2e-09,0
0.0013842,0.00016441,0.015822,3.4e-08,2e-09,0
0.0014373,0.00016776,0.015765,3.6e-08,2e-09,0
0.0014865,0.00017124,0.015705,3.8e-08,2e-09,0
0.0015316,0.00017486,0.015643,4e-08,2e-09,0
0.0015724,0.0001786,0.015579,4.2e-08,2e-09,0
0.0016089,0.00018246,0.015513,4.4e-08,2e-09,0
0.0016407,0.00018643,0.015446,4.6e-08,2e-09,0
0.001668,0.00019049,0.015377,4.8e-08,2e-09,0
0.0016904,0.00019464,0.015307,5e-08,2e-09,0
0.001708,0.00019887,0.015236,5.2e-08,2e-09,0
0.0017207,0.00020317,0.015165,5.4e-08,2e-09,0
0.0017284,0.00020753,0.015092,5.6e-08,2e-09,0
0.0017311,0.00021193,0.01502,5.8e-08,2e-09,0
0.0017288,0.00021636,0.014947,6e-08,2e-09,0
0.0017215,0.00022082,0.014874,6.2e-08,2e-09,0
0.0017092,0.00022529,0.014802,6.4e-08,2e-09,0
0.0016922,0.00022975,0.014731,6.6e-08,2e-09,0
0.0016704,0.0002342,0.01466,6.8e-08,2e-09,0
0.001644,0.00023863,0.014591,7e-08,2e-09,0
0.0016132,0.00024302,0.014523,7.2e-08,2e-09,0
0.0015782,0.00024735,0.014456,7.4e-08,2e-09,0
0.001539,0.00025161,0.014391,7.6e-08,2e-09,0
0.0014958,0.00025578,0.014327,7.8e-08,2e-09,0
0.0014487,0.00025986,0.014265,8e-08,2e-09,0
0.0013977,0.00026383,0.014205,8.2e-08,2e-09,0
0.0013431,0.00026767,0.014146,8.4e-08,2e-09,0
0.0012848,0.00027138,0.01409,8.6e-08,2e-09,0
0.0012231,0.00027493,0.014036,8.8e-08,2e-09,0
0.0011579,0.00027832,0.013985,9e-08,2e-09,0
0.0010894,0.00028154,0.013936,9.2e-08,2e-09,0
0.0010178,0.00028457,0.013889,9.4e-08,2e-09,0
0.00094329,0.0002874,0.013846,9.6e-08,2e-09,0
0.00086596,0.00029003,0.013806,9.8e-08,2e-09,0
0.00078605,0.00029245,0.013769,1e-07,2e-09,0
0.00070378,0.00029464,0.013735,1.02e-07,2e-09,0
0.00061937,0.00029661,0.013705,1.04e-07,2e-09,0
0.00053306,0.00029833,0.013678,1.06e-07,2e-09,0
0.0004451,0.00029982,0.013655,1.08e-07,2e-09,0
0.00035576,0.00030105,0.013636,1.1e-07,2e-09,0
0.0002653,0.00030203,0.013621,1.12e-07,2e-09,0
0.00017399,0.00030276,0.01361,1.14e-07,2e-09,0
8.2109e-05,0.00030323,0.013603,1.16e-07,2e-09,0
-1.0057e-05,0.00030343,0.0136,1.18e-07,2e-09,0
-0.00010223,0.00030338,0.013601,1.2e-07,2e-09,0
-0.00019412,0.00030307,0.013606,1.22e-07,2e-09,0
-0.00028546,0.0003025,0.013615,1.24e-07,2e-09,0
-0.00037595,0.00030167,0.013628,1.26e-07,2e-09,0
-0.00046534,0.00030058,0.013644,1.28e-07,2e-09,0
-0.00055335,0.00029925,0.013665,1.3e-07,2e-09,0
-0.00063973,0.00029767,0.01369,1.32e-07,2e-09,0
-0.00072421,0.00029586,0.013718,1.34e-07,2e-09,0
-0.00080656,0.00029381,0.01375,1.36e-07,2e-09,0
-0.00088654,0.00029153,0.013785,1.38e-07,2e-09,0
-0.00096393,0.00028904,0.013823,1.4e-07,2e-09,0
-0.0010385,0.00028634,0.013865,1.42e-07,2e-09,0
-0.0011101,0.00028344,0.01391,1.44e-07,2e-09,0
-0.0011785,0.00028035,0.013958,1.46e-07,2e-09,0
-0.0012436,0.00027708,0.014008,1.48e-07,2e-09,0
-0.0013052,0.00027365,0.014061,1.5e-07,2e-09,0
-0.0013633,0.00027006,0.014116,1.52e-07,2e-09,0
-0.0014176,0.00026632,0.014174,1.54e-07,2e-09,0
-0.0014681,0.00026246,0.014233,1.56e-07,2e-09,0
-0.0015147,0.00025847,0.014294,1.58e-07,2e-09,0
-0.0015574,0.00025438,0.014357,1.6e-07,2e-09,0
-0.001596,0.00025019,0.014421,1.62e-07,2e-09,0
-0.0016306,0.00024593,0.014487,1.64e-07,2e-09,0
-0.0016611,0.0002416,0.014554,1.66e-07,2e-09,0
-0.0016873,0.00023722,0.014622,1.68e-07,2e-09,0
-0.0017092,0.0002328,0.014691,1.7e-07,2e-09,0
-0.0017266,0.00022836,0.014761,1.72e-07,2e-09,0
-0.0017394,0.00022391,0.014832,1.74e-07,2e-09,0
-0.0017475,0.00021946,0.014904,1.76e-07,2e-09,0
-0.0017509,0.00021503,0.014976,1.78e-07,2e-09,0
-0.0017494,0.00021062,0.015048,1.8e-07,2e-09,0
-0.001743,0.00020625,0.01512,1.82e-07,2e-09,0
-0.0017317,0.00020194,0.015192,1.84e-07,2e-09,0
-0.0017156,0.00019768,0.015263,1.86e-07,2e-09,0
-0.0016946,0.00019349,0.015333,1.88e-07,2e-09,0
-0.001669,0.00018938,0.015402,1.9e-07,2e-09,0
-0.0016387,0.00018536,0.01547,1.92e-07,2e-09,0
-0.0016039,0.00018144,0.015537,1.94e-07,2e-09,0
