"B_demag.region2_zrange299_:0","B_demag.region2_zrange299_:1","B_demag.region2_zrange299_:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00021307,6.58e-06,0.013558,1,0,0,1.19e-07,0
0.00023797,6.6037e-06,0.013556,1,2.38e-10,2.38e-10,1.19e-07,0
0.00026286,6.6275e-06,0.013554,1,4.76e-10,4.76e-10,1.19e-07,0
0.00028775,6.6513e-06,0.013552,1,7.14e-10,7.14e-10,1.19e-07,0
0.00031264,6.675e-06,0.01355,1,9.52e-10,9.52e-10,1.19e-07,0
0.00033754,6.6988e-06,0.013548,1,1.19e-09,1.19e-09,1.19e-07,0
0.00036243,6.7226e-06,0.013546,1,1.428e-09,1.428e-09,1.19e-07,0
0.00038732,6.7463e-06,0.013544,1,1.666e-09,1.666e-09,1.19e-07,0
0.00041221,6.7701e-06,0.013542,1,1.904e-09,1.904e-09,1.19e-07,0
0.00043706,6.795e-06,0.013539,1,2.142e-09,2.142e-09,1.19e-07,0
0.00046188,6.8207e-06,0.013536,1,2.38e-09,2.38e-09,1.19e-07,0
0.00048669,6.8465e-06,0.013532,1,2.618e-09,2.618e-09,1.19e-07,0
0.00051151,6.8722e-06,0.013529,1,2.856e-09,2.856e-09,1.19e-07,0
0.00053633,6.8979e-06,0.013525,1,3.094e-09,3.094e-09,1.19e-07,0
0.00056114,6.9237e-06,0.013522,1,3.332e-09,3.332e-09,1.19e-07,0
0.00058596,6.9494e-06,0.013519,1,3.57e-09,3.57e-09,1.19e-07,0
0.00061078,6.9751e-06,0.013515,1,3.808e-09,3.808e-09,1.19e-07,0
0.00063557,7.0012e-06,0.013511,1,4.046e-09,4.046e-09,1.19e-07,0
0.00066026,7.0289e-06,0.013507,1,4.284e-09,4.284e-09,1.19e-07,0
0.00068495,7.0566e-06,0.013502,1,4.522e-09,4.522e-09,1.19e-07,0
0.00070965,7.0843e-06,0.013497,1,4.76e-09,4.76e-09,1.19e-07,0
0.00073434,7.1121e-06,0.013492,1,4.998e-09,4.998e-09,1.19e-07,0
0.00075903,7.1398e-06,0.013487,1,5.236e-09,5.236e-09,1.19e-07,0
0.00078372,7.1675e-06,0.013483,1,5.474e-09,5.474e-09,1.19e-07,0
0.00080842,7.1952e-06,0.013478,1,5.712e-09,5.712e-09,1.19e-07,0
0.00083311,7.2229e-06,0.013473,1,5.95e-09,5.95e-09,1.19e-07,0
0.00085766,7.2521e-06,0.013467,1,6.188e-09,6.188e-09,1.19e-07,0
0.00088218,7.2818e-06,0.013461,1,6.426e-09,6.426e-09,1.19e-07,0
0.0009067,7.3115e-06,0.013455,1,6.664e-09,6.664e-09,1.19e-07,0
0.00093122,7.3412e-06,0.013449,1,6.902e-09,6.902e-09,1.19e-07,0
0.00095574,7.3709e-06,0.013442,1,7.14e-09,7.14e-09,1.19e-07,0
0.00098026,7.4005e-06,0.013436,1,7.378e-09,7.378e-09,1.19e-07,0
0.0010048,7.4302e-06,0.01343,1,7.616e-09,7.616e-09,1.19e-07,0
0.0010293,7.4599e-06,0.013424,1,7.854e-09,7.854e-09,1.19e-07,0
0.0010537,7.4904e-06,0.013417,1,8.092e-09,8.092e-09,1.19e-07,0
0.001078,7.522e-06,0.01341,1,8.33e-09,8.33e-09,1.19e-07,0
0.0011023,7.5537e-06,0.013402,1,8.568e-09,8.568e-09,1.19e-07,0
0.0011266,7.5853e-06,0.013395,1,8.806e-09,8.806e-09,1.19e-07,0
0.0011509,7.617e-06,0.013387,1,9.044e-09,9.044e-09,1.19e-07,0
0.0011752,7.6487e-06,0.013379,1,9.282e-09,9.282e-09,1.19e-07,0
0.0011995,7.6803e-06,0.013372,1,9.52e-09,9.52e-09,1.19e-07,0
0.0012238,7.712e-06,0.013364,1,9.758e-09,9.758e-09,1.19e-07,0
0.0012481,7.7437e-06,0.013357,1,9.996e-09,9.996e-09,1.19e-07,0
0.0012721,7.7773e-06,0.013348,1,1.0234e-08,1.0234e-08,1.19e-07,0
