"B_demag.region2_zrange0_:0","B_demag.region2_zrange0_:1","B_demag.region2_zrange0_:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.4251e-06,-3.2627e-06,0.013514,1,0,0,1.19e-07,0
1.2959e-06,-3.2628e-06,0.013513,1,2.38e-10,2.38e-10,1.19e-07,0
-4.8332e-06,-3.2629e-06,0.013513,1,4.76e-10,4.76e-10,1.19e-07,0
-1.0962e-05,-3.263e-06,0.013513,1,7.14e-10,7.14e-10,1.19e-07,0
-1.7091e-05,-3.2631e-06,0.013513,1,9.52e-10,9.52e-10,1.19e-07,0
-2.322e-05,-3.2632e-06,0.013513,1,1.19e-09,1.19e-09,1.19e-07,0
-2.935e-05,-3.2633e-06,0.013513,1,1.428e-09,1.428e-09,1.19e-07,0
-3.5479e-05,-3.2634e-06,0.013513,1,1.666e-09,1.666e-09,1.19e-07,0
-4.1608e-05,-3.2635e-06,0.013513,1,1.904e-09,1.904e-09,1.19e-07,0
-4.773e-05,-3.2638e-06,0.013512,1,2.142e-09,2.142e-09,1.19e-07,0
-5.3848e-05,-3.2643e-06,0.013512,1,2.38e-09,2.38e-09,1.19e-07,0
-5.9965e-05,-3.2648e-06,0.013512,1,2.618e-09,2.618e-09,1.19e-07,0
-6.6083e-05,-3.2653e-06,0.013511,1,2.856e-09,2.856e-09,1.19e-07,0
-7.22e-05,-3.2657e-06,0.013511,1,3.094e-09,3.094e-09,1.19e-07,0
-7.8318e-05,-3.2662e-06,0.01351,1,3.332e-09,3.332e-09,1.19e-07,0
-8.4435e-05,-3.2667e-06,0.01351,1,3.57e-09,3.57e-09,1.19e-07,0
-9.0553e-05,-3.2672e-06,0.013509,1,3.808e-09,3.808e-09,1.19e-07,0
-9.6665e-05,-3.2677e-06,0.013509,1,4.046e-09,4.046e-09,1.19e-07,0
-0.00010276,-3.2686e-06,0.013508,1,4.284e-09,4.284e-09,1.19e-07,0
-0.00010885,-3.2694e-06,0.013507,1,4.522e-09,4.522e-09,1.19e-07,0
-0.00011494,-3.2703e-06,0.013506,1,4.76e-09,4.76e-09,1.19e-07,0
-0.00012103,-3.2711e-06,0.013505,1,4.998e-09,4.998e-09,1.19e-07,0
-0.00012712,-3.272e-06,0.013505,1,5.236e-09,5.236e-09,1.19e-07,0
-0.00013321,-3.2728e-06,0.013504,1,5.474e-09,5.474e-09,1.19e-07,0
-0.0001393,-3.2737e-06,0.013503,1,5.712e-09,5.712e-09,1.19e-07,0
-0.00014539,-3.2745e-06,0.013502,1,5.95e-09,5.95e-09,1.19e-07,0
-0.00015145,-3.2757e-06,0.013501,1,6.188e-09,6.188e-09,1.19e-07,0
-0.0001575,-3.2769e-06,0.0135,1,6.426e-09,6.426e-09,1.19e-07,0
-0.00016355,-3.2781e-06,0.013499,1,6.664e-09,6.664e-09,1.19e-07,0
-0.0001696,-3.2793e-06,0.013497,1,6.902e-09,6.902e-09,1.19e-07,0
-0.00017565,-3.2806e-06,0.013496,1,7.14e-09,7.14e-09,1.19e-07,0
-0.0001817,-3.2818e-06,0.013495,1,7.378e-09,7.378e-09,1.19e-07,0
-0.00018775,-3.283e-06,0.013494,1,7.616e-09,7.616e-09,1.19e-07,0
-0.0001938,-3.2842e-06,0.013493,1,7.854e-09,7.854e-09,1.19e-07,0
-0.00019982,-3.2856e-06,0.013491,1,8.092e-09,8.092e-09,1.19e-07,0
-0.00020582,-3.2872e-06,0.01349,1,8.33e-09,8.33e-09,1.19e-07,0
-0.00021181,-3.2888e-06,0.013488,1,8.568e-09,8.568e-09,1.19e-07,0
-0.0002178,-3.2904e-06,0.013487,1,8.806e-09,8.806e-09,1.19e-07,0
-0.00022379,-3.292e-06,0.013485,1,9.044e-09,9.044e-09,1.19e-07,0
-0.00022979,-3.2936e-06,0.013484,1,9.282e-09,9.282e-09,1.19e-07,0
-0.00023578,-3.2952e-06,0.013482,1,9.52e-09,9.52e-09,1.19e-07,0
-0.00024177,-3.2968e-06,0.01348,1,9.758e-09,9.758e-09,1.19e-07,0
-0.00024776,-3.2984e-06,0.013479,1,9.996e-09,9.996e-09,1.19e-07,0
-0.00025368,-3.3003e-06,0.013477,1,1.0234e-08,1.0234e-08,1.19e-07,0
-0.00025961,-3.3023e-06,0.013475,1,1.0472e-08,1.0472e-08,1.19e-07,0
-0.00026553,-3.3042e-06,0.013473,1,1.071e-08,1.071e-08,1.19e-07,0
-0.00027145,-3.3062e-06,0.013471,1,1.0948e-08,1.0948e-08,1.19e-07,0
-0.00027737,-3.3082e-06,0.013469,1,1.1186e-08,1.1186e-08,1.19e-07,0
-0.00028329,-3.3101e-06,0.013467,1,1.1424e-08,1.1424e-08,1.19e-07,0
-0.00028921,-3.3121e-06,0.013466,1,1.1662e-08,1.1662e-08,1.19e-07,0
-0.00029513,-3.3141e-06,0.013464,1,1.19e-08,1.19e-08,1.19e-07,0
-0.000301,-3.3162e-06,0.013462,1,1.2138e-08,1.2138e-08,1.19e-07,0
