"B_demag.region2_zrange0_:0","B_demag.region2_zrange0_:1","B_demag.region2_zrange0_:2","Points:0","Points:1","Points:2"
8.9439e-12,3.0756e-11,0.015672,0,0,0
3.9878e-12,3.0758e-11,0.015672,2e-09,0,0
-7.0107e-13,3.0756e-11,0.015672,4e-09,0,0
-5.1104e-12,3.0752e-11,0.015672,6e-09,0,0
-9.2368e-12,3.0746e-11,0.015672,8e-09,0,0
-1.3064e-11,3.0739e-11,0.015672,1e-08,0,0
-1.6829e-11,3.0728e-11,0.015672,1.2e-08,0,0
-2.0518e-11,3.0716e-11,0.015672,1.4e-08,0,0
-2.4359e-11,3.0702e-11,0.015672,1.6e-08,0,0
-2.8347e-11,3.0686e-11,0.015672,1.8e-08,0,0
-3.247e-11,3.0667e-11,0.015672,2e-08,0,0
-3.6723e-11,3.0647e-11,0.015672,2.2e-08,0,0
-4.0597e-11,3.0624e-11,0.015672,2.4e-08,0,0
-4.4087e-11,3.0599e-11,0.015672,2.6e-08,0,0
-4.7181e-11,3.0572e-11,0.015672,2.8e-08,0,0
-4.9877e-11,3.0544e-11,0.015672,3e-08,0,0
-5.2407e-11,3.0514e-11,0.015672,3.2e-08,0,0
-5.4761e-11,3.0484e-11,0.015672,3.4e-08,0,0
-5.7177e-11,3.0451e-11,0.015672,3.6e-08,0,0
-5.9649e-11,3.0418e-11,0.015672,3.8e-08,0,0
-6.217e-11,3.0381e-11,0.015672,4e-08,0,0
-6.4738e-11,3.0345e-11,0.015672,4.2e-08,0,0
-6.6855e-11,3.0306e-11,0.015672,4.4e-08,0,0
-6.8511e-11,3.0267e-11,0.015672,4.6e-08,0,0
-6.9707e-11,3.0226e-11,0.015672,4.8e-08,0,0
-7.0444e-11,3.0185e-11,0.015672,5e-08,0,0
-7.0956e-11,3.0143e-11,0.015672,5.2e-08,0,0
-7.1242e-11,3.01e-11,0.015672,5.4e-08,0,0
-7.1544e-11,3.0057e-11,0.015672,5.6e-08,0,0
-7.1861e-11,3.0015e-11,0.015672,5.8e-08,0,0
-7.2197e-11,2.9972e-11,0.015672,6e-08,0,0
-7.255e-11,2.9929e-11,0.015672,6.2e-08,0,0
-7.2429e-11,2.9886e-11,0.015672,6.4e-08,0,0
-7.1833e-11,2.9841e-11,0.015672,6.6e-08,0,0
-7.0768e-11,2.9797e-11,0.015672,6.8e-08,0,0
-6.9239e-11,2.9754e-11,0.015672,7e-08,0,0
-6.7491e-11,2.9712e-11,0.015672,7.2e-08,0,0
-6.5526e-11,2.967e-11,0.015672,7.4e-08,0,0
-6.3593e-11,2.9628e-11,0.015672,7.6e-08,0,0
