"B_demag.region2_zrange0_:0","B_demag.region2_zrange0_:1","B_demag.region2_zrange0_:2","Points:0","Points:1","Points:2"
-1.191e-05,-2.0991e-05,0.013971,0,0,0
-5.2254e-05,-2.1004e-05,0.01397,2e-09,0,0
-9.2476e-05,-2.1042e-05,0.013967,4e-09,0,0
-0.00013246,-2.1104e-05,0.013962,6e-09,0,0
-0.00017208,-2.1191e-05,0.013955,8e-09,0,0
-0.00021123,-2.1303e-05,0.013945,1e-08,0,0
-0.00024978,-2.1438e-05,0.013934,1.2e-08,0,0
-0.00028763,-2.1597e-05,0.013921,1.4e-08,0,0
-0.00032465,-2.1779e-05,0.013906,1.6e-08,0,0
-0.00036074,-2.1985e-05,0.013889,1.8e-08,0,0
-0.00039578,-2.2212e-05,0.013871,2e-08,0,0
-0.00042966,-2.2462e-05,0.01385,2.2e-08,0,0
-0.00046229,-2.2734e-05,0.013828,2.4e-08,0,0
-0.00049355,-2.3026e-05,0.013804,2.6e-08,0,0
-0.00052335,-2.3338e-05,0.013778,2.8e-08,0,0
-0.00055159,-2.367e-05,0.013751,3e-08,0,0
-0.00057817,-2.402e-05,0.013722,3.2e-08,0,0
-0.00060301,-2.4388e-05,0.013692,3.4e-08,0,0
-0.00062602,-2.4773e-05,0.01366,3.6e-08,0,0
-0.00064712,-2.5174e-05,0.013627,3.8e-08,0,0
-0.00066622,-2.5591e-05,0.013593,4e-08,0,0
-0.00068326,-2.6021e-05,0.013558,4.2e-08,0,0
-0.00069818,-2.6464e-05,0.013521,4.4e-08,0,0
-0.00071089,-2.6918e-05,0.013484,4.6e-08,0,0
-0.00072136,-2.7384e-05,0.013445,4.8e-08,0,0
-0.00072953,-2.7858e-05,0.013406,5e-08,0,0
-0.00073535,-2.8341e-05,0.013366,5.2e-08,0,0
-0.0007388,-2.883e-05,0.013325,5.4e-08,0,0
-0.00073986,-2.9325e-05,0.013283,5.6e-08,0,0
-0.00073852,-2.9824e-05,0.013241,5.8e-08,0,0
-0.0007348,-3.0325e-05,0.013198,6e-08,0,0
-0.00072877,-3.0827e-05,0.013154,6.2e-08,0,0
-0.00072053,-3.1328e-05,0.01311,6.4e-08,0,0
-0.00071022,-3.1827e-05,0.013065,6.6e-08,0,0
-0.00069807,-3.2322e-05,0.013019,6.8e-08,0,0
-0.00068434,-3.2812e-05,0.012973,7e-08,0,0
-0.00066928,-3.3295e-05,0.012927,7.2e-08,0,0
-0.00065311,-3.3771e-05,0.012882,7.4e-08,0,0
-0.00063598,-3.4237e-05,0.012836,7.6e-08,0,0
-0.00061795,-3.4694e-05,0.012791,7.8e-08,0,0
-0.00059901,-3.5139e-05,0.012748,8e-08,0,0
-0.00057913,-3.5573e-05,0.012705,8.2e-08,0,0
-0.00055824,-3.5993e-05,0.012664,8.4e-08,0,0
-0.00053631,-3.6399e-05,0.012625,8.6e-08,0,0
-0.00051329,-3.679e-05,0.012587,8.8e-08,0,0
-0.00048914,-3.7164e-05,0.012552,9e-08,0,0
-0.00046387,-3.752e-05,0.012518,9.2e-08,0,0
-0.00043747,-3.7856e-05,0.012487,9.4e-08,0,0
-0.00040999,-3.8173e-05,0.012457,9.6e-08,0,0
-0.00038144,-3.8469e-05,0.01243,9.8e-08,0,0
-0.00035189,-3.8742e-05,0.012405,1e-07,0,0
-0.0003214,-3.8992e-05,0.012382,1.02e-07,0,0
-0.00029003,-3.9218e-05,0.012361,1.04e-07,0,0
-0.00025787,-3.9419e-05,0.012343,1.06e-07,0,0
-0.00022499,-3.9595e-05,0.012327,1.08e-07,0,0
-0.00019148,-3.9744e-05,0.012314,1.1e-07,0,0
-0.00015745,-3.9868e-05,0.012303,1.12e-07,0,0
-0.00012298,-3.9964e-05,0.012295,1.14e-07,0,0
-8.8172e-05,-4.0032e-05,0.012289,1.16e-07,0,0
-5.3132e-05,-4.0073e-05,0.012286,1.18e-07,0,0
-1.796e-05,-4.0087e-05,0.012285,1.2e-07,0,0
1.7242e-05,-4.0072e-05,0.012287,1.22e-07,0,0
5.2372e-05,-4.003e-05,0.012291,1.24e-07,0,0
8.7329e-05,-3.996e-05,0.012298,1.26e-07,0,0
0.00012202,-3.9863e-05,0.012307,1.28e-07,0,0
0.00015634,-3.9738e-05,0.012319,1.3e-07,0,0
0.0001902,-3.9587e-05,0.012333,1.32e-07,0,0
0.00022352,-3.941e-05,0.012349,1.34e-07,0,0
0.00025621,-3.9207e-05,0.012368,1.36e-07,0,0
0.00028819,-3.898e-05,0.012389,1.38e-07,0,0
0.00031938,-3.8728e-05,0.012413,1.4e-07,0,0
0.0003497,-3.8452e-05,0.012439,1.42e-07,0,0
0.00037907,-3.8155e-05,0.012466,1.44e-07,0,0
0.00040743,-3.7836e-05,0.012496,1.46e-07,0,0
0.00043471,-3.7497e-05,0.012528,1.48e-07,0,0
0.00046087,-3.7138e-05,0.012562,1.5e-07,0,0
0.00048588,-3.6762e-05,0.012598,1.52e-07,0,0
0.00050974,-3.637e-05,0.012635,1.54e-07,0,0
0.00053246,-3.5962e-05,0.012675,1.56e-07,0,0
0.00055407,-3.554e-05,0.012715,1.58e-07,0,0
0.00057461,-3.5104e-05,0.012757,1.6e-07,0,0
0.00059414,-3.4657e-05,0.012801,1.62e-07,0,0
0.00061267,-3.42e-05,0.012845,1.64e-07,0,0
0.00063022,-3.3733e-05,0.01289,1.66e-07,0,0
0.0006467,-3.3257e-05,0.012936,1.68e-07,0,0
0.00066197,-3.2774e-05,0.012981,1.7e-07,0,0
0.00067583,-3.2284e-05,0.013026,1.72e-07,0,0
0.00068803,-3.179e-05,0.013071,1.74e-07,0,0
0.00069833,-3.1292e-05,0.013116,1.76e-07,0,0
0.00070653,-3.0791e-05,0.01316,1.78e-07,0,0
0.0007125,-3.029e-05,0.013203,1.8e-07,0,0
0.00071613,-2.979e-05,0.013246,1.82e-07,0,0
0.00071738,-2.9293e-05,0.013288,1.84e-07,0,0
0.00071624,-2.8799e-05,0.01333,1.86e-07,0,0
0.0007127,-2.831e-05,0.01337,1.88e-07,0,0
0.00070679,-2.7828e-05,0.01341,1.9e-07,0,0
0.00069854,-2.7355e-05,0.013449,1.92e-07,0,0
0.000688,-2.689e-05,0.013488,1.94e-07,0,0
0.0006752,-2.6437e-05,0.013525,1.96e-07,0,0
0.00066022,-2.5995e-05,0.013561,1.98e-07,0,0
0.00064311,-2.5566e-05,0.013597,2e-07,0,0
0.00062394,-2.5151e-05,0.013631,2.02e-07,0,0
0.00060278,-2.4751e-05,0.013663,2.04e-07,0,0
0.00057971,-2.4367e-05,0.013695,2.06e-07,0,0
0.00055481,-2.4e-05,0.013725,2.08e-07,0,0
0.00052817,-2.3651e-05,0.013753,2.1e-07,0,0
0.00049988,-2.332e-05,0.01378,2.12e-07,0,0
0.00047004,-2.3009e-05,0.013806,2.14e-07,0,0
0.00043873,-2.2718e-05,0.01383,2.16e-07,0,0
0.00040606,-2.2448e-05,0.013852,2.18e-07,0,0
0.00037214,-2.22e-05,0.013872,2.2e-07,0,0
0.00033706,-2.1973e-05,0.013891,2.22e-07,0,0
0.00030095,-2.1769e-05,0.013907,2.24e-07,0,0
0.0002639,-2.1588e-05,0.013922,2.26e-07,0,0
0.00022603,-2.143e-05,0.013935,2.28e-07,0,0
0.00018746,-2.1296e-05,0.013946,2.3e-07,0,0
0.00014829,-2.1186e-05,0.013955,2.32e-07,0,0
0.00010866,-2.1101e-05,0.013962,2.34e-07,0,0
6.8664e-05,-2.104e-05,0.013967,2.36e-07,0,0
2.8435e-05,-2.1003e-05,0.01397,2.38e-07,0,0
-1.1911e-05,-6.1274e-05,0.013969,0,2e-09,0
-5.2302e-05,-6.131e-05,0.013968,2e-09,2e-09,0
-9.2572e-05,-6.1416e-05,0.013965,4e-09,2e-09,0
-0.0001326,-6.1592e-05,0.01396,6e-09,2e-09,0
-0.00017227,-6.1836e-05,0.013952,8e-09,2e-09,0
-0.00021147,-6.2149e-05,0.013943,1e-08,2e-09,0
-0.00025006,-6.253e-05,0.013932,1.2e-08,2e-09,0
-0.00028795,-6.2978e-05,0.013919,1.4e-08,2e-09,0
-0.00032502,-6.3492e-05,0.013904,1.6e-08,2e-09,0
-0.00036115,-6.4071e-05,0.013887,1.8e-08,2e-09,0
-0.00039623,-6.4713e-05,0.013868,2e-08,2e-09,0
-0.00043016,-6.5418e-05,0.013848,2.2e-08,2e-09,0
-0.00046283,-6.6183e-05,0.013825,2.4e-08,2e-09,0
-0.00049413,-6.7006e-05,0.013801,2.6e-08,2e-09,0
-0.00052396,-6.7887e-05,0.013776,2.8e-08,2e-09,0
-0.00055224,-6.8822e-05,0.013748,3e-08,2e-09,0
-0.00057886,-6.981e-05,0.01372,3.2e-08,2e-09,0
-0.00060373,-7.0848e-05,0.013689,3.4e-08,2e-09,0
-0.00062677,-7.1934e-05,0.013658,3.6e-08,2e-09,0
-0.0006479,-7.3064e-05,0.013625,3.8e-08,2e-09,0
-0.00066703,-7.4238e-05,0.01359,4e-08,2e-09,0
-0.0006841,-7.545e-05,0.013555,4.2e-08,2e-09,0
-0.00069904,-7.6699e-05,0.013519,4.4e-08,2e-09,0
-0.00071177,-7.7981e-05,0.013481,4.6e-08,2e-09,0
-0.00072226,-7.9293e-05,0.013442,4.8e-08,2e-09,0
-0.00073044,-8.0631e-05,0.013403,5e-08,2e-09,0
-0.00073628,-8.1991e-05,0.013363,5.2e-08,2e-09,0
-0.00073975,-8.3371e-05,0.013322,5.4e-08,2e-09,0
-0.00074081,-8.4765e-05,0.01328,5.6e-08,2e-09,0
-0.00073948,-8.6169e-05,0.013237,5.8e-08,2e-09,0
-0.00073577,-8.7581e-05,0.013194,6e-08,2e-09,0
-0.00072974,-8.8994e-05,0.013151,6.2e-08,2e-09,0
-0.00072149,-9.0405e-05,0.013106,6.4e-08,2e-09,0
-0.00071118,-9.181e-05,0.013061,6.6e-08,2e-09,0
-0.00069903,-9.3204e-05,0.013016,6.8e-08,2e-09,0
-0.00068529,-9.4584e-05,0.01297,7e-08,2e-09,0
-0.00067022,-9.5944e-05,0.012924,7.2e-08,2e-09,0
-0.00065404,-9.7284e-05,0.012878,7.4e-08,2e-09,0
-0.00063689,-9.8598e-05,0.012832,7.6e-08,2e-09,0
-0.00061884,-9.9885e-05,0.012787,7.8e-08,2e-09,0
-0.00059987,-0.00010114,0.012744,8e-08,2e-09,0
-0.00057997,-0.00010236,0.012701,8.2e-08,2e-09,0
-0.00055906,-0.00010355,0.01266,8.4e-08,2e-09,0
-0.0005371,-0.00010469,0.012621,8.6e-08,2e-09,0
-0.00051404,-0.0001058,0.012583,8.8e-08,2e-09,0
-0.00048986,-0.00010685,0.012548,9e-08,2e-09,0
-0.00046455,-0.00010785,0.012514,9.2e-08,2e-09,0
-0.00043811,-0.0001088,0.012482,9.4e-08,2e-09,0
-0.00041059,-0.0001097,0.012453,9.6e-08,2e-09,0
-0.000382,-0.00011053,0.012425,9.8e-08,2e-09,0
-0.00035241,-0.0001113,0.0124,1e-07,2e-09,0
-0.00032187,-0.00011201,0.012377,1.02e-07,2e-09,0
-0.00029045,-0.00011265,0.012357,1.04e-07,2e-09,0
-0.00025824,-0.00011321,0.012339,1.06e-07,2e-09,0
-0.00022531,-0.00011371,0.012323,1.08e-07,2e-09,0
-0.00019175,-0.00011413,0.01231,1.1e-07,2e-09,0
-0.00015766,-0.00011448,0.012299,1.12e-07,2e-09,0
-0.00012314,-0.00011475,0.01229,1.14e-07,2e-09,0
-8.8279e-05,-0.00011495,0.012284,1.16e-07,2e-09,0
-5.3185e-05,-0.00011507,0.012281,1.18e-07,2e-09,0
-1.7958e-05,-0.0001151,0.01228,1.2e-07,2e-09,0
1.7298e-05,-0.00011506,0.012282,1.22e-07,2e-09,0
5.2481e-05,-0.00011495,0.012286,1.24e-07,2e-09,0
8.7492e-05,-0.00011475,0.012293,1.26e-07,2e-09,0
0.00012223,-0.00011448,0.012302,1.28e-07,2e-09,0
0.00015661,-0.00011413,0.012314,1.3e-07,2e-09,0
0.00019052,-0.0001137,0.012328,1.32e-07,2e-09,0
0.00022389,-0.00011321,0.012345,1.34e-07,2e-09,0
0.00025663,-0.00011264,0.012364,1.36e-07,2e-09,0
0.00028866,-0.000112,0.012385,1.38e-07,2e-09,0
0.0003199,-0.00011129,0.012408,1.4e-07,2e-09,0
0.00035026,-0.00011052,0.012434,1.42e-07,2e-09,0
0.00037968,-0.00010968,0.012462,1.44e-07,2e-09,0
0.00040807,-0.00010878,0.012492,1.46e-07,2e-09,0
0.00043539,-0.00010783,0.012524,1.48e-07,2e-09,0
0.00046159,-0.00010682,0.012558,1.5e-07,2e-09,0
0.00048664,-0.00010577,0.012594,1.52e-07,2e-09,0
0.00051053,-0.00010466,0.012631,1.54e-07,2e-09,0
0.00053328,-0.00010351,0.01267,1.56e-07,2e-09,0
0.00055491,-0.00010232,0.012711,1.58e-07,2e-09,0
0.00057548,-0.0001011,0.012753,1.6e-07,2e-09,0
0.00059503,-9.9838e-05,0.012797,1.62e-07,2e-09,0
0.00061358,-9.8548e-05,0.012841,1.64e-07,2e-09,0
