"B_demag.region2_zrange0_:0","B_demag.region2_zrange0_:1","B_demag.region2_zrange0_:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.2283e-05,3.6066e-06,0.012284,1,0,0,1.19e-07,0
-2.1218e-05,3.6067e-06,0.012284,1,2.38e-10,2.38e-10,1.19e-07,0
-3.0154e-05,3.6068e-06,0.012284,1,4.76e-10,4.76e-10,1.19e-07,0
-3.9089e-05,3.6069e-06,0.012283,1,7.14e-10,7.14e-10,1.19e-07,0
-4.8025e-05,3.6071e-06,0.012283,1,9.52e-10,9.52e-10,1.19e-07,0
-5.6961e-05,3.6072e-06,0.012283,1,1.19e-09,1.19e-09,1.19e-07,0
-6.5896e-05,3.6073e-06,0.012282,1,1.428e-09,1.428e-09,1.19e-07,0
-7.4832e-05,3.6074e-06,0.012282,1,1.666e-09,1.666e-09,1.19e-07,0
-8.3767e-05,3.6075e-06,0.012282,1,1.904e-09,1.904e-09,1.19e-07,0
-9.2689e-05,3.6078e-06,0.012281,1,2.142e-09,2.142e-09,1.19e-07,0
-0.0001016,3.6083e-06,0.01228,1,2.38e-09,2.38e-09,1.19e-07,0
-0.00011051,3.6087e-06,0.01228,1,2.618e-09,2.618e-09,1.19e-07,0
-0.00011943,3.6091e-06,0.012279,1,2.856e-09,2.856e-09,1.19e-07,0
-0.00012834,3.6095e-06,0.012278,1,3.094e-09,3.094e-09,1.19e-07,0
-0.00013725,3.6099e-06,0.012277,1,3.332e-09,3.332e-09,1.19e-07,0
-0.00014616,3.6103e-06,0.012276,1,3.57e-09,3.57e-09,1.19e-07,0
-0.00015507,3.6108e-06,0.012275,1,3.808e-09,3.808e-09,1.19e-07,0
-0.00016398,3.6112e-06,0.012275,1,4.046e-09,4.046e-09,1.19e-07,0
-0.00017284,3.6119e-06,0.012273,1,4.284e-09,4.284e-09,1.19e-07,0
-0.00018171,3.6126e-06,0.012272,1,4.522e-09,4.522e-09,1.19e-07,0
-0.00019058,3.6134e-06,0.01227,1,4.76e-09,4.76e-09,1.19e-07,0
-0.00019944,3.6141e-06,0.012269,1,4.998e-09,4.998e-09,1.19e-07,0
-0.00020831,3.6148e-06,0.012268,1,5.236e-09,5.236e-09,1.19e-07,0
-0.00021717,3.6155e-06,0.012266,1,5.474e-09,5.474e-09,1.19e-07,0
-0.00022604,3.6162e-06,0.012265,1,5.712e-09,5.712e-09,1.19e-07,0
-0.00023491,3.6169e-06,0.012264,1,5.95e-09,5.95e-09,1.19e-07,0
-0.00024372,3.6178e-06,0.012262,1,6.188e-09,6.188e-09,1.19e-07,0
-0.00025251,3.6188e-06,0.01226,1,6.426e-09,6.426e-09,1.19e-07,0
-0.00026131,3.6198e-06,0.012258,1,6.664e-09,6.664e-09,1.19e-07,0
-0.00027011,3.6208e-06,0.012256,1,6.902e-09,6.902e-09,1.19e-07,0
-0.0002789,3.6218e-06,0.012254,1,7.14e-09,7.14e-09,1.19e-07,0
-0.0002877,3.6228e-06,0.012252,1,7.378e-09,7.378e-09,1.19e-07,0
-0.0002965,3.6238e-06,0.012251,1,7.616e-09,7.616e-09,1.19e-07,0
-0.0003053,3.6248e-06,0.012249,1,7.854e-09,7.854e-09,1.19e-07,0
-0.00031406,3.6259e-06,0.012247,1,8.092e-09,8.092e-09,1.19e-07,0
-0.00032276,3.6272e-06,0.012244,1,8.33e-09,8.33e-09,1.19e-07,0
-0.00033147,3.6285e-06,0.012242,1,8.568e-09,8.568e-09,1.19e-07,0
-0.00034017,3.6298e-06,0.012239,1,8.806e-09,8.806e-09,1.19e-07,0
-0.00034888,3.6311e-06,0.012237,1,9.044e-09,9.044e-09,1.19e-07,0
-0.00035758,3.6324e-06,0.012235,1,9.282e-09,9.282e-09,1.19e-07,0
-0.00036629,3.6337e-06,0.012232,1,9.52e-09,9.52e-09,1.19e-07,0
-0.00037499,3.6349e-06,0.01223,1,9.758e-09,9.758e-09,1.19e-07,0
-0.0003837,3.6362e-06,0.012227,1,9.996e-09,9.996e-09,1.19e-07,0
-0.00039229,3.6378e-06,0.012224,1,1.0234e-08,1.0234e-08,1.19e-07,0
-0.00040088,3.6394e-06,0.012221,1,1.0472e-08,1.0472e-08,1.19e-07,0
-0.00040947,3.6409e-06,0.012218,1,1.071e-08,1.071e-08,1.19e-07,0
-0.00041806,3.6425e-06,0.012216,1,1.0948e-08,1.0948e-08,1.19e-07,0
-0.00042665,3.6441e-06,0.012213,1,1.1186e-08,1.1186e-08,1.19e-07,0
-0.00043524,3.6457e-06,0.01221,1,1.1424e-08,1.1424e-08,1.19e-07,0
-0.00044383,3.6472e-06,0.012207,1,1.1662e-08,1.1662e-08,1.19e-07,0
-0.00045242,3.6488e-06,0.012204,1,1.19e-08,1.19e-08,1.19e-07,0
-0.00046093,3.6505e-06,0.012201,1,1.2138e-08,1.2138e-08,1.19e-07,0
-0.00046939,3.6524e-06,0.012197,1,1.2376e-08,1.2376e-08,1.19e-07,0
-0.00047784,3.6543e-06,0.012194,1,1.2614e-08,1.2614e-08,1.19e-07,0
-0.00048629,3.6561e-06,0.01219,1,1.2852e-08,1.2852e-08,1.19e-07,0
-0.00049475,3.658e-06,0.012187,1,1.309e-08,1.309e-08,1.19e-07,0
-0.0005032,3.6598e-06,0.012183,1,1.3328e-08,1.3328e-08,1.19e-07,0
-0.00051165,3.6617e-06,0.01218,1,1.3566e-08,1.3566e-08,1.19e-07,0
-0.00052011,3.6635e-06,0.012176,1,1.3804e-08,1.3804e-08,1.19e-07,0
-0.00052853,3.6654e-06,0.012173,1,1.4042e-08,1.4042e-08,1.19e-07,0
-0.00053683,3.6676e-06,0.012169,1,1.428e-08,1.428e-08,1.19e-07,0
-0.00054512,3.6697e-06,0.012165,1,1.4518e-08,1.4518e-08,1.19e-07,0
-0.00055341,3.6718e-06,0.012161,1,1.4756e-08,1.4756e-08,1.19e-07,0
-0.00056171,3.6739e-06,0.012157,1,1.4994e-08,1.4994e-08,1.19e-07,0
-0.00057,3.6761e-06,0.012153,1,1.5232e-08,1.5232e-08,1.19e-07,0
-0.0005783,3.6782e-06,0.012149,1,1.547e-08,1.547e-08,1.19e-07,0
-0.00058659,3.6803e-06,0.012145,1,1.5708e-08,1.5708e-08,1.19e-07,0
-0.00059488,3.6825e-06,0.012141,1,1.5946e-08,1.5946e-08,1.19e-07,0
-0.00060304,3.6848e-06,0.012137,1,1.6184e-08,1.6184e-08,1.19e-07,0
-0.00061115,3.6872e-06,0.012132,1,1.6422e-08,1.6422e-08,1.19e-07,0
-0.00061926,3.6896e-06,0.012128,1,1.666e-08,1.666e-08,1.19e-07,0
-0.00062737,3.692e-06,0.012123,1,1.6898e-08,1.6898e-08,1.19e-07,0
-0.00063549,3.6944e-06,0.012119,1,1.7136e-08,1.7136e-08,1.19e-07,0
-0.0006436,3.6968e-06,0.012114,1,1.7374e-08,1.7374e-08,1.19e-07,0
-0.00065171,3.6992e-06,0.01211,1,1.7612e-08,1.7612e-08,1.19e-07,0
-0.00065982,3.7016e-06,0.012105,1,1.785e-08,1.785e-08,1.19e-07,0
-0.00066786,3.7041e-06,0.012101,1,1.8088e-08,1.8088e-08,1.19e-07,0
-0.00067577,3.7068e-06,0.012096,1,1.8326e-08,1.8326e-08,1.19e-07,0
-0.00068368,3.7095e-06,0.012091,1,1.8564e-08,1.8564e-08,1.19e-07,0
-0.00069159,3.7121e-06,0.012086,1,1.8802e-08,1.8802e-08,1.19e-07,0
-0.00069949,3.7148e-06,0.012081,1,1.904e-08,1.904e-08,1.19e-07,0
