"m:0","m:1","m:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.00021318,-1.066e-05,1,1,0,0,1.19e-07,1.52e-07
0.00012331,-1.067e-05,1,1,2.38e-10,2.38e-10,1.19e-07,1.52e-07
3.3446e-05,-1.0679e-05,1,1,4.76e-10,4.76e-10,1.19e-07,1.52e-07
-5.6419e-05,-1.0689e-05,1,1,7.14e-10,7.14e-10,1.19e-07,1.52e-07
-0.00014628,-1.0698e-05,1,1,9.52e-10,9.52e-10,1.19e-07,1.52e-07
-0.00023615,-1.0708e-05,1,1,1.19e-09,1.19e-09,1.19e-07,1.52e-07
-0.00032601,-1.0717e-05,1,1,1.428e-09,1.428e-09,1.19e-07,1.52e-07
-0.00041588,-1.0727e-05,1,1,1.666e-09,1.666e-09,1.19e-07,1.52e-07
-0.00050574,-1.0736e-05,1,1,1.904e-09,1.904e-09,1.19e-07,1.52e-07
-0.00059595,-1.0751e-05,1,1,2.142e-09,2.142e-09,1.19e-07,1.52e-07
-0.0006864,-1.0771e-05,1,1,2.38e-09,2.38e-09,1.19e-07,1.52e-07
-0.00077684,-1.0791e-05,1,1,2.618e-09,2.618e-09,1.19e-07,1.52e-07
-0.00086728,-1.081e-05,1,1,2.856e-09,2.856e-09,1.19e-07,1.52e-07
-0.00095773,-1.083e-05,1,1,3.094e-09,3.094e-09,1.19e-07,1.52e-07
-0.0010482,-1.0849e-05,1,1,3.332e-09,3.332e-09,1.19e-07,1.52e-07
-0.0011386,-1.0869e-05,1,1,3.57e-09,3.57e-09,1.19e-07,1.52e-07
-0.0012291,-1.0888e-05,1,1,3.808e-09,3.808e-09,1.19e-07,1.52e-07
-0.0013198,-1.091e-05,1,1,4.046e-09,4.046e-09,1.19e-07,1.52e-07
-0.0014117,-1.0941e-05,1,1,4.284e-09,4.284e-09,1.19e-07,1.52e-07
-0.0015036,-1.0972e-05,1,1,4.522e-09,4.522e-09,1.19e-07,1.52e-07
-0.0015955,-1.1002e-05,1,1,4.76e-09,4.76e-09,1.19e-07,1.52e-07
-0.0016874,-1.1033e-05,1,1,4.998e-09,4.998e-09,1.19e-07,1.52e-07
-0.0017793,-1.1064e-05,1,1,5.236e-09,5.236e-09,1.19e-07,1.52e-07
-0.0018712,-1.1095e-05,1,1,5.474e-09,5.474e-09,1.19e-07,1.52e-07
-0.0019631,-1.1125e-05,1,1,5.712e-09,5.712e-09,1.19e-07,1.52e-07
-0.002055,-1.1156e-05,1,1,5.95e-09,5.95e-09,1.19e-07,1.52e-07
-0.0021488,-1.1196e-05,1,1,6.188e-09,6.188e-09,1.19e-07,1.52e-07
-0.0022431,-1.1238e-05,1,1,6.426e-09,6.426e-09,1.19e-07,1.52e-07
-0.0023374,-1.1279e-05,1,1,6.664e-09,6.664e-09,1.19e-07,1.52e-07
-0.0024317,-1.1321e-05,1,1,6.902e-09,6.902e-09,1.19e-07,1.52e-07
-0.002526,-1.1363e-05,1,1,7.14e-09,7.14e-09,1.19e-07,1.52e-07
-0.0026203,-1.1405e-05,1,1,7.378e-09,7.378e-09,1.19e-07,1.52e-07
-0.0027146,-1.1447e-05,1,1,7.616e-09,7.616e-09,1.19e-07,1.52e-07
-0.0028089,-1.1489e-05,1,1,7.854e-09,7.854e-09,1.19e-07,1.52e-07
-0.0029045,-1.1536e-05,1,1,8.092e-09,8.092e-09,1.19e-07,1.52e-07
-0.0030022,-1.1591e-05,1,1,8.33e-09,8.33e-09,1.19e-07,1.52e-07
-0.0030999,-1.1645e-05,1,1,8.568e-09,8.568e-09,1.19e-07,1.52e-07
-0.0031976,-1.17e-05,0.99999,1,8.806e-09,8.806e-09,1.19e-07,1.52e-07
-0.0032953,-1.1755e-05,0.99999,1,9.044e-09,9.044e-09,1.19e-07,1.52e-07
-0.003393,-1.181e-05,0.99999,1,9.282e-09,9.282e-09,1.19e-07,1.52e-07
-0.0034907,-1.1865e-05,0.99999,1,9.52e-09,9.52e-09,1.19e-07,1.52e-07
-0.0035884,-1.1919e-05,0.99999,1,9.758e-09,9.758e-09,1.19e-07,1.52e-07
-0.0036861,-1.1974e-05,0.99999,1,9.996e-09,9.996e-09,1.19e-07,1.52e-07
-0.0037883,-1.2042e-05,0.99999,1,1.0234e-08,1.0234e-08,1.19e-07,1.52e-07
-0.0038905,-1.2109e-05,0.99999,1,1.0472e-08,1.0472e-08,1.19e-07,1.52e-07
-0.0039927,-1.2177e-05,0.99999,1,1.071e-08,1.071e-08,1.19e-07,1.52e-07
-0.0040949,-1.2245e-05,0.99999,1,1.0948e-08,1.0948e-08,1.19e-07,1.52e-07
-0.0041971,-1.2313e-05,0.99999,1,1.1186e-08,1.1186e-08,1.19e-07,1.52e-07
-0.0042993,-1.2381e-05,0.99999,1,1.1424e-08,1.1424e-08,1.19e-07,1.52e-07
-0.0044016,-1.2449e-05,0.99999,1,1.1662e-08,1.1662e-08,1.19e-07,1.52e-07
-0.0045038,-1.2517e-05,0.99999,1,1.19e-08,1.19e-08,1.19e-07,1.52e-07
-0.0046093,-1.2593e-05,0.99999,1,1.2138e-08,1.2138e-08,1.19e-07,1.52e-07
-0.0047174,-1.2675e-05,0.99999,1,1.2376e-08,1.2376e-08,1.19e-07,1.52e-07
-0.0048254,-1.2758e-05,0.99999,1,1.2614e-08,1.2614e-08,1.19e-07,1.52e-07
-0.0049334,-1.284e-05,0.99999,1,1.2852e-08,1.2852e-08,1.19e-07,1.52e-07
-0.0050414,-1.2923e-05,0.99999,1,1.309e-08,1.309e-08,1.19e-07,1.52e-07
-0.0051494,-1.3005e-05,0.99999,1,1.3328e-08,1.3328e-08,1.19e-07,1.52e-07
-0.0052574,-1.3087e-05,0.99999,1,1.3566e-08,1.3566e-08,1.19e-07,1.52e-07
-0.0053654,-1.317e-05,0.99999,1,1.3804e-08,1.3804e-08,1.19e-07,1.52e-07
-0.0054747,-1.3255e-05,0.99999,1,1.4042e-08,1.4042e-08,1.19e-07,1.52e-07
-0.0055899,-1.3356e-05,0.99998,1,1.428e-08,1.428e-08,1.19e-07,1.52e-07
-0.0057052,-1.3456e-05,0.99998,1,1.4518e-08,1.4518e-08,1.19e-07,1.52e-07
-0.0058205,-1.3556e-05,0.99998,1,1.4756e-08,1.4756e-08,1.19e-07,1.52e-07
-0.0059357,-1.3657e-05,0.99998,1,1.4994e-08,1.4994e-08,1.19e-07,1.52e-07
-0.006051,-1.3757e-05,0.99998,1,1.5232e-08,1.5232e-08,1.19e-07,1.52e-07
-0.0061662,-1.3857e-05,0.99998,1,1.547e-08,1.547e-08,1.19e-07,1.52e-07
-0.0062815,-1.3958e-05,0.99998,1,1.5708e-08,1.5708e-08,1.19e-07,1.52e-07
-0.0063968,-1.4058e-05,0.99998,1,1.5946e-08,1.5946e-08,1.19e-07,1.52e-07
-0.006519,-1.4173e-05,0.99998,1,1.6184e-08,1.6184e-08,1.19e-07,1.52e-07
-0.0066432,-1.4293e-05,0.99998,1,1.6422e-08,1.6422e-08,1.19e-07,1.52e-07
-0.0067675,-1.4412e-05,0.99998,1,1.666e-08,1.666e-08,1.19e-07,1.52e-07
-0.0068917,-1.4532e-05,0.99998,1,1.6898e-08,1.6898e-08,1.19e-07,1.52e-07
-0.007016,-1.4651e-05,0.99998,1,1.7136e-08,1.7136e-08,1.19e-07,1.52e-07
