"m:0","m:1","m:2","Points:0","Points:1","Points:2"
2.6971e-09,6.07e-10,1,0,0,1.52e-07
1.1046e-09,3.7056e-09,1,2e-09,0,1.52e-07
2.2061e-09,-7.889e-10,1,4e-09,0,1.52e-07
2.8877e-09,3.6232e-09,1,6e-09,0,1.52e-07
1.0283e-08,1.4392e-09,1,8e-09,0,1.52e-07
6.8139e-09,1.4006e-09,1,1e-08,0,1.52e-07
1.2466e-08,1.4475e-09,1,1.2e-08,0,1.52e-07
1.2799e-08,4.5434e-09,1,1.4e-08,0,1.52e-07
1.8688e-08,4.7535e-09,1,1.6e-08,0,1.52e-07
1.3504e-08,6.4798e-09,1,1.8e-08,0,1.52e-07
2.1012e-08,3.8078e-09,1,2e-08,0,1.52e-07
2.0833e-08,6.6301e-09,1,2.2e-08,0,1.52e-07
2.0476e-08,6.1832e-09,1,2.4e-08,0,1.52e-07
2.0085e-08,5.4385e-09,1,2.6e-08,0,1.52e-07
2.2076e-08,5.8872e-09,1,2.8e-08,0,1.52e-07
2.6496e-08,5.2826e-09,1,3e-08,0,1.52e-07
2.378e-08,4.4018e-09,1,3.2e-08,0,1.52e-07
2.932e-08,3.8565e-09,1,3.4e-08,0,1.52e-07
2.9734e-08,2.3742e-10,1,3.6e-08,0,1.52e-07
3.0139e-08,5.8714e-10,1,3.8e-08,0,1.52e-07
3.5661e-08,2.5254e-09,1,4e-08,0,1.52e-07
2.9868e-08,3.7428e-09,1,4.2e-08,0,1.52e-07
3.5327e-08,4.6525e-09,1,4.4e-08,0,1.52e-07
3.6412e-08,-7.733e-10,1,4.6e-08,0,1.52e-07
3.7298e-08,-4.4886e-09,1,4.8e-08,0,1.52e-07
3.8246e-08,1.3934e-10,1,5e-08,0,1.52e-07
3.9349e-08,-2.1978e-09,1,5.2e-08,0,1.52e-07
4.051e-08,-1.7075e-09,1,5.4e-08,0,1.52e-07
4.1078e-08,-4.0461e-09,1,5.6e-08,0,1.52e-07
4.1778e-08,-4.612e-09,1,5.8e-08,0,1.52e-07
4.2189e-08,-1.0582e-09,1,6e-08,0,1.52e-07
4.2664e-08,-3.4303e-09,1,6.2e-08,0,1.52e-07
4.308e-08,-4.6509e-09,1,6.4e-08,0,1.52e-07
4.3429e-08,-2.4873e-09,1,6.6e-08,0,1.52e-07
4.3267e-08,4.1717e-10,1,6.8e-08,0,1.52e-07
4.3004e-08,1.0501e-09,1,7e-08,0,1.52e-07
4.2451e-08,3.3339e-09,1,7.2e-08,0,1.52e-07
4.1836e-08,-5.5953e-10,1,7.4e-08,0,1.52e-07
4.1218e-08,5.1172e-09,1,7.6e-08,0,1.52e-07
3.9653e-08,2.2037e-09,1,7.8e-08,0,1.52e-07
3.8581e-08,-1.0041e-09,1,8e-08,0,1.52e-07
3.2099e-08,7.6322e-10,1,8.2e-08,0,1.52e-07
3.3225e-08,5.3501e-10,1,8.4e-08,0,1.52e-07
3.3219e-08,3.7017e-09,1,8.6e-08,0,1.52e-07
3.4398e-08,2.1802e-09,1,8.8e-08,0,1.52e-07
2.8404e-08,9.7432e-10,1,9e-08,0,1.52e-07
3.4265e-08,2.4293e-09,1,9.2e-08,0,1.52e-07
2.8796e-08,-8.0031e-10,1,9.4e-08,0,1.52e-07
2.7658e-08,-2.6396e-09,1,9.6e-08,0,1.52e-07
2.2035e-08,-1.6688e-10,1,9.8e-08,0,1.52e-07
2.0757e-08,3.8983e-10,1,1e-07,0,1.52e-07
1.6127e-08,3.0769e-09,1,1.02e-07,0,1.52e-07
1.8428e-08,3.5998e-09,1,1.04e-07,0,1.52e-07
1.9291e-08,4.1568e-09,1,1.06e-07,0,1.52e-07
1.5414e-08,4.4184e-09,1,1.08e-07,0,1.52e-07
1.3321e-08,3.0191e-10,1,1.1e-07,0,1.52e-07
5.8471e-09,1.0751e-09,1,1.12e-07,0,1.52e-07
6.0861e-09,6.0972e-09,1,1.14e-07,0,1.52e-07
2.5018e-09,4.437e-09,1,1.16e-07,0,1.52e-07
3.8448e-09,2.1107e-10,1,1.18e-07,0,1.52e-07
-1.4281e-09,1.1455e-09,1,1.2e-07,0,1.52e-07
-1.92e-09,4.0533e-09,1,1.22e-07,0,1.52e-07
-3.8768e-09,2.124e-09,1,1.24e-07,0,1.52e-07
-7.4675e-09,1.96e-09,1,1.26e-07,0,1.52e-07
-1.1171e-08,4.6411e-09,1,1.28e-07,0,1.52e-07
-1.2202e-08,2.2528e-09,1,1.3e-07,0,1.52e-07
-1.7476e-08,5.8945e-09,1,1.32e-07,0,1.52e-07
-1.7459e-08,6.7199e-09,1,1.34e-07,0,1.52e-07
-1.4584e-08,-4.198e-10,1,1.36e-07,0,1.52e-07
-2.0831e-08,-1.9204e-09,1,1.38e-07,0,1.52e-07
-2.0409e-08,-5.4258e-09,1,1.4e-07,0,1.52e-07
-2.533e-08,-4.1992e-09,1,1.42e-07,0,1.52e-07
-2.972e-08,3.3233e-10,1,1.44e-07,0,1.52e-07
-2.8393e-08,2.781e-10,1,1.46e-07,0,1.52e-07
-3.2032e-08,3.8375e-09,1,1.48e-07,0,1.52e-07
-2.8893e-08,2.7631e-09,1,1.5e-07,0,1.52e-07
-3.519e-08,1.3062e-09,1,1.52e-07,0,1.52e-07
-2.9059e-08,4.4188e-09,1,1.54e-07,0,1.52e-07
-3.6589e-08,4.4418e-09,1,1.56e-07,0,1.52e-07
-3.781e-08,4.6348e-09,1,1.58e-07,0,1.52e-07
-3.8504e-08,4.5381e-09,1,1.6e-07,0,1.52e-07
-3.8318e-08,7.0688e-09,1,1.62e-07,0,1.52e-07
-3.9506e-08,6.599e-09,1,1.64e-07,0,1.52e-07
-4.0176e-08,-5.4314e-10,1,1.66e-07,0,1.52e-07
-4.1386e-08,7.3812e-09,1,1.68e-07,0,1.52e-07
-4.1872e-08,2.1096e-09,1,1.7e-07,0,1.52e-07
-4.2357e-08,-1.594e-09,1,1.72e-07,0,1.52e-07
-4.2516e-08,2.1987e-09,1,1.74e-07,0,1.52e-07
-4.2585e-08,-1.0485e-09,1,1.76e-07,0,1.52e-07
-4.195e-08,5.6863e-10,1,1.78e-07,0,1.52e-07
-4.1389e-08,-1.2504e-09,1,1.8e-07,0,1.52e-07
-4.0594e-08,-1.7304e-09,1,1.82e-07,0,1.52e-07
-3.9753e-08,-1.0562e-09,1,1.84e-07,0,1.52e-07
-3.8791e-08,-1.2099e-10,1,1.86e-07,0,1.52e-07
-3.7733e-08,6.9448e-10,1,1.88e-07,0,1.52e-07
-3.5965e-08,2.6693e-10,1,1.9e-07,0,1.52e-07
-3.5289e-08,-3.1133e-10,1,1.92e-07,0,1.52e-07
-3.6237e-08,2.5406e-09,1,1.94e-07,0,1.52e-07
-3.5593e-08,8.2236e-11,1,1.96e-07,0,1.52e-07
-3.3525e-08,1.4365e-09,1,1.98e-07,0,1.52e-07
-3.1292e-08,2.134e-09,1,2e-07,0,1.52e-07
-3.0094e-08,2.9124e-09,1,2.02e-07,0,1.52e-07
-2.8304e-08,5.1831e-09,1,2.04e-07,0,1.52e-07
-2.7957e-08,1.8964e-09,1,2.06e-07,0,1.52e-07
-2.5945e-08,2.2798e-09,1,2.08e-07,0,1.52e-07
-2.436e-08,3.5796e-09,1,2.1e-07,0,1.52e-07
-2.2604e-08,4.4833e-09,1,2.12e-07,0,1.52e-07
-2.319e-08,6.7238e-10,1,2.14e-07,0,1.52e-07
