"m:0","m:1","m:2","Points:0","Points:1","Points:2"
-6.535e-06,-0.00010034,1,0,0,1.52e-07
-0.00019347,-0.00010052,1,2e-09,0,1.52e-07
-0.00038028,-0.00010111,1,4e-09,0,1.52e-07
-0.00056673,-0.00010211,1,6e-09,0,1.52e-07
-0.0007526,-0.00010352,1,8e-09,0,1.52e-07
-0.00093765,-0.00010534,1,1e-08,0,1.52e-07
-0.0011216,-0.00010759,1,1.2e-08,0,1.52e-07
-0.0013043,-0.00011026,1,1.4e-08,0,1.52e-07
-0.0014855,-0.00011336,1,1.6e-08,0,1.52e-07
-0.0016648,-0.00011689,1,1.8e-08,0,1.52e-07
-0.001842,-0.00012087,1,2e-08,0,1.52e-07
-0.0020169,-0.00012531,1,2.2e-08,0,1.52e-07
-0.0021891,-0.0001302,1,2.4e-08,0,1.52e-07
-0.0023583,-0.00013556,1,2.6e-08,0,1.52e-07
-0.0025241,-0.00014141,1,2.8e-08,0,1.52e-07
-0.0026863,-0.00014773,1,3e-08,0,1.52e-07
-0.0028445,-0.00015456,1,3.2e-08,0,1.52e-07
-0.0029982,-0.0001619,1,3.4e-08,0,1.52e-07
-0.0031472,-0.00016976,1,3.6e-08,0,1.52e-07
-0.0032909,-0.00017814,0.99999,3.8e-08,0,1.52e-07
-0.003429,-0.00018707,0.99999,4e-08,0,1.52e-07
-0.0035609,-0.00019653,0.99999,4.2e-08,0,1.52e-07
-0.0036864,-0.00020655,0.99999,4.4e-08,0,1.52e-07
-0.0038048,-0.00021713,0.99999,4.6e-08,0,1.52e-07
-0.0039157,-0.00022827,0.99999,4.8e-08,0,1.52e-07
-0.0040185,-0.00023998,0.99999,5e-08,0,1.52e-07
-0.0041129,-0.00025227,0.99999,5.2e-08,0,1.52e-07
-0.0041982,-0.00026512,0.99999,5.4e-08,0,1.52e-07
-0.0042739,-0.00027853,0.99999,5.6e-08,0,1.52e-07
-0.0043396,-0.0002925,0.99999,5.8e-08,0,1.52e-07
-0.0043947,-0.00030701,0.99999,6e-08,0,1.52e-07
-0.0044387,-0.00032205,0.99999,6.2e-08,0,1.52e-07
-0.0044712,-0.0003376,0.99999,6.4e-08,0,1.52e-07
-0.0044916,-0.00035364,0.99999,6.6e-08,0,1.52e-07
-0.0044996,-0.00037012,0.99999,6.8e-08,0,1.52e-07
-0.0044947,-0.00038703,0.99999,7e-08,0,1.52e-07
-0.0044765,-0.00040431,0.99999,7.2e-08,0,1.52e-07
-0.0044447,-0.00042191,0.99999,7.4e-08,0,1.52e-07
-0.0043989,-0.00043978,0.99999,7.6e-08,0,1.52e-07
-0.0043389,-0.00045786,0.99999,7.8e-08,0,1.52e-07
-0.0042644,-0.00047608,0.99999,8e-08,0,1.52e-07
-0.0041753,-0.00049435,0.99999,8.2e-08,0,1.52e-07
-0.0040713,-0.0005126,0.99999,8.4e-08,0,1.52e-07
-0.0039525,-0.00053073,0.99999,8.6e-08,0,1.52e-07
-0.0038189,-0.00054865,0.99999,8.8e-08,0,1.52e-07
