"B_demag.region2_zrange460_:0","B_demag.region2_zrange460_:1","B_demag.region2_zrange460_:2","Points:0","Points:1","Points:2"
-7.0867e-06,-7.0869e-06,-0.0082175,0,0,0
-2.1254e-05,-7.0909e-06,-0.0082172,1e-09,0,0
-3.5403e-05,-7.0989e-06,-0.0082165,2e-09,0,0
-4.9518e-05,-7.1109e-06,-0.0082155,3e-09,0,0
-6.3589e-05,-7.1268e-06,-0.0082142,4e-09,0,0
-7.7602e-05,-7.1467e-06,-0.0082125,5e-09,0,0
-9.1544e-05,-7.1705e-06,-0.0082105,6e-09,0,0
-0.0001054,-7.1982e-06,-0.0082082,7e-09,0,0
-0.00011916,-7.2299e-06,-0.0082055,8e-09,0,0
-0.00013282,-7.2655e-06,-0.0082025,9e-09,0,0
-0.00014635,-7.3049e-06,-0.0081992,1e-08,0,0
-0.00015974,-7.3482e-06,-0.0081955,1.1e-08,0,0
-0.00017299,-7.3953e-06,-0.0081916,1.2e-08,0,0
-0.00018608,-7.4461e-06,-0.0081873,1.3e-08,0,0
-0.000199,-7.5008e-06,-0.0081827,1.4e-08,0,0
-0.00021173,-7.5592e-06,-0.0081778,1.5e-08,0,0
-0.00022427,-7.6212e-06,-0.0081726,1.6e-08,0,0
-0.00023659,-7.6869e-06,-0.0081671,1.7e-08,0,0
-0.0002487,-7.7563e-06,-0.0081613,1.8e-08,0,0
-0.00026057,-7.8291e-06,-0.0081552,1.9e-08,0,0
-0.00027221,-7.9055e-06,-0.0081488,2e-08,0,0
-0.00028358,-7.9854e-06,-0.0081421,2.1e-08,0,0
-0.00029469,-8.0687e-06,-0.0081352,2.2e-08,0,0
-0.00030552,-8.1553e-06,-0.008128,2.3e-08,0,0
-0.00031605,-8.2452e-06,-0.0081205,2.4e-08,0,0
-0.00032629,-8.3383e-06,-0.0081127,2.5e-08,0,0
-0.00033622,-8.4346e-06,-0.0081047,2.6e-08,0,0
-0.00034582,-8.5341e-06,-0.0080964,2.7e-08,0,0
-0.00035509,-8.6365e-06,-0.0080879,2.8e-08,0,0
-0.00036402,-8.7419e-06,-0.0080792,2.9e-08,0,0
-0.0003726,-8.8502e-06,-0.0080702,3e-08,0,0
-0.00038081,-8.9613e-06,-0.0080611,3.1e-08,0,0
-0.00038866,-9.0751e-06,-0.0080517,3.2e-08,0,0
-0.00039612,-9.1915e-06,-0.0080421,3.3e-08,0,0
-0.00040319,-9.3105e-06,-0.0080323,3.4e-08,0,0
-0.00040986,-9.4319e-06,-0.0080223,3.5e-08,0,0
-0.00041613,-9.5556e-06,-0.0080121,3.6e-08,0,0
-0.00042198,-9.6816e-06,-0.0080018,3.7e-08,0,0
-0.00042741,-9.8097e-06,-0.0079913,3.8e-08,0,0
-0.00043241,-9.9398e-06,-0.0079806,3.9e-08,0,0
-0.00043697,-1.0072e-05,-0.0079698,4e-08,0,0
-0.00044109,-1.0206e-05,-0.0079589,4.1e-08,0,0
-0.00044475,-1.0341e-05,-0.0079479,4.2e-08,0,0
-0.00044796,-1.0478e-05,-0.0079367,4.3e-08,0,0
-0.00045071,-1.0617e-05,-0.0079255,4.4e-08,0,0
-0.000453,-1.0757e-05,-0.0079141,4.5e-08,0,0
-0.00045481,-1.0898e-05,-0.0079027,4.6e-08,0,0
-0.00045614,-1.104e-05,-0.0078912,4.7e-08,0,0
-0.000457,-1.1183e-05,-0.0078797,4.8e-08,0,0
-0.00045738,-1.1327e-05,-0.0078681,4.9e-08,0,0
-0.00045726,-1.1471e-05,-0.0078564,5e-08,0,0
-0.00045667,-1.1616e-05,-0.0078448,5.1e-08,0,0
-0.00045558,-1.1761e-05,-0.0078332,5.2e-08,0,0
-0.000454,-1.1907e-05,-0.0078215,5.3e-08,0,0
-0.00045193,-1.2053e-05,-0.0078099,5.4e-08,0,0
-0.00044937,-1.2198e-05,-0.0077983,5.5e-08,0,0
-0.00044632,-1.2344e-05,-0.0077868,5.6e-08,0,0
-0.00044278,-1.2489e-05,-0.0077753,5.7e-08,0,0
-0.00043875,-1.2634e-05,-0.007764,5.8e-08,0,0
-0.00043424,-1.2777e-05,-0.0077527,5.9e-08,0,0
-0.00042926,-1.2921e-05,-0.0077415,6e-08,0,0
-0.0004238,-1.3063e-05,-0.0077305,6.1e-08,0,0
-0.00041787,-1.3204e-05,-0.0077196,6.2e-08,0,0
-0.00041149,-1.3344e-05,-0.0077088,6.3e-08,0,0
-0.00040466,-1.3483e-05,-0.0076983,6.4e-08,0,0
-0.00039739,-1.362e-05,-0.007688,6.5e-08,0,0
-0.00038971,-1.3755e-05,-0.0076779,6.6e-08,0,0
-0.00038162,-1.3889e-05,-0.007668,6.7e-08,0,0
-0.00037316,-1.4021e-05,-0.0076584,6.8e-08,0,0
-0.00036433,-1.415e-05,-0.0076491,6.9e-08,0,0
-0.00035517,-1.4277e-05,-0.0076401,7e-08,0,0
-0.00034571,-1.4402e-05,-0.0076313,7.1e-08,0,0
-0.00033596,-1.4525e-05,-0.0076229,7.2e-08,0,0
-0.00032595,-1.4644e-05,-0.0076148,7.3e-08,0,0
-0.0003157,-1.4761e-05,-0.0076069,7.4e-08,0,0
-0.00030523,-1.4875e-05,-0.0075993,7.5e-08,0,0
-0.00029456,-1.4985e-05,-0.007592,7.6e-08,0,0
-0.00028369,-1.5092e-05,-0.007585,7.7e-08,0,0
-0.00027264,-1.5195e-05,-0.0075782,7.8e-08,0,0
-0.0002614,-1.5295e-05,-0.0075717,7.9e-08,0,0
-0.00024998,-1.5391e-05,-0.0075655,8e-08,0,0
-0.00023839,-1.5482e-05,-0.0075595,8.1e-08,0,0
-0.00022663,-1.557e-05,-0.0075537,8.2e-08,0,0
-0.0002147,-1.5654e-05,-0.0075483,8.3e-08,0,0
-0.00020261,-1.5733e-05,-0.0075431,8.4e-08,0,0
-0.00019036,-1.5807e-05,-0.0075381,8.5e-08,0,0
-0.00017795,-1.5878e-05,-0.0075335,8.6e-08,0,0
-0.0001654,-1.5943e-05,-0.0075292,8.7e-08,0,0
-0.00015271,-1.6004e-05,-0.0075251,8.8e-08,0,0
-0.00013989,-1.606e-05,-0.0075214,8.9e-08,0,0
-0.00012695,-1.6111e-05,-0.007518,9e-08,0,0
-0.0001139,-1.6157e-05,-0.0075149,9.1e-08,0,0
-0.00010074,-1.6199e-05,-0.0075121,9.2e-08,0,0
-8.7499e-05,-1.6235e-05,-0.0075097,9.3e-08,0,0
-7.4174e-05,-1.6266e-05,-0.0075076,9.4e-08,0,0
-6.0781e-05,-1.6292e-05,-0.0075059,9.5e-08,0,0
-4.7333e-05,-1.6313e-05,-0.0075045,9.6e-08,0,0
-3.3841e-05,-1.6328e-05,-0.0075034,9.7e-08,0,0
-2.0317e-05,-1.6339e-05,-0.0075027,9.8e-08,0,0
-6.7746e-06,-1.6344e-05,-0.0075024,9.9e-08,0,0
6.7741e-06,-1.6344e-05,-0.0075024,1e-07,0,0
2.0317e-05,-1.6339e-05,-0.0075027,1.01e-07,0,0
3.384e-05,-1.6328e-05,-0.0075034,1.02e-07,0,0
4.7332e-05,-1.6312e-05,-0.0075045,1.03e-07,0,0
6.0781e-05,-1.6292e-05,-0.0075059,1.04e-07,0,0
7.4173e-05,-1.6266e-05,-0.0075076,1.05e-07,0,0
8.7498e-05,-1.6234e-05,-0.0075097,1.06e-07,0,0
0.00010074,-1.6198e-05,-0.0075121,1.07e-07,0,0
0.0001139,-1.6157e-05,-0.0075149,1.08e-07,0,0
0.00012695,-1.6111e-05,-0.007518,1.09e-07,0,0
0.00013989,-1.606e-05,-0.0075214,1.1e-07,0,0
0.00015271,-1.6004e-05,-0.0075251,1.11e-07,0,0
0.0001654,-1.5943e-05,-0.0075292,1.12e-07,0,0
0.00017795,-1.5877e-05,-0.0075335,1.13e-07,0,0
0.00019036,-1.5807e-05,-0.0075381,1.14e-07,0,0
0.00020261,-1.5733e-05,-0.0075431,1.15e-07,0,0
0.0002147,-1.5654e-05,-0.0075483,1.16e-07,0,0
0.00022663,-1.557e-05,-0.0075537,1.17e-07,0,0
0.00023839,-1.5482e-05,-0.0075595,1.18e-07,0,0
0.00024998,-1.5391e-05,-0.0075655,1.19e-07,0,0
0.0002614,-1.5295e-05,-0.0075717,1.2e-07,0,0
0.00027264,-1.5195e-05,-0.0075782,1.21e-07,0,0
0.00028369,-1.5092e-05,-0.007585,1.22e-07,0,0
0.00029456,-1.4985e-05,-0.007592,1.23e-07,0,0
0.00030523,-1.4874e-05,-0.0075993,1.24e-07,0,0
0.0003157,-1.4761e-05,-0.0076069,1.25e-07,0,0
0.00032595,-1.4644e-05,-0.0076148,1.26e-07,0,0
0.00033595,-1.4524e-05,-0.0076229,1.27e-07,0,0
0.0003457,-1.4402e-05,-0.0076313,1.28e-07,0,0
0.00035517,-1.4277e-05,-0.0076401,1.29e-07,0,0
0.00036433,-1.415e-05,-0.0076491,1.3e-07,0,0
0.00037315,-1.402e-05,-0.0076584,1.31e-07,0,0
0.00038162,-1.3889e-05,-0.007668,1.32e-07,0,0
0.00038971,-1.3755e-05,-0.0076779,1.33e-07,0,0
0.00039739,-1.362e-05,-0.007688,1.34e-07,0,0
0.00040465,-1.3483e-05,-0.0076983,1.35e-07,0,0
0.00041149,-1.3344e-05,-0.0077088,1.36e-07,0,0
0.00041787,-1.3204e-05,-0.0077196,1.37e-07,0,0
0.00042379,-1.3063e-05,-0.0077305,1.38e-07,0,0
0.00042926,-1.2921e-05,-0.0077415,1.39e-07,0,0
0.00043424,-1.2777e-05,-0.0077527,1.4e-07,0,0
0.00043875,-1.2633e-05,-0.0077639,1.41e-07,0,0
0.00044278,-1.2489e-05,-0.0077753,1.42e-07,0,0
0.00044632,-1.2343e-05,-0.0077868,1.43e-07,0,0
0.00044937,-1.2198e-05,-0.0077983,1.44e-07,0,0
0.00045193,-1.2052e-05,-0.0078099,1.45e-07,0,0
0.000454,-1.1907e-05,-0.0078215,1.46e-07,0,0
0.00045558,-1.1761e-05,-0.0078332,1.47e-07,0,0
0.00045667,-1.1616e-05,-0.0078448,1.48e-07,0,0
0.00045726,-1.1471e-05,-0.0078564,1.49e-07,0,0
0.00045738,-1.1326e-05,-0.0078681,1.5e-07,0,0
0.000457,-1.1182e-05,-0.0078797,1.51e-07,0,0
0.00045614,-1.1039e-05,-0.0078912,1.52e-07,0,0
0.00045481,-1.0897e-05,-0.0079027,1.53e-07,0,0
0.000453,-1.0756e-05,-0.0079141,1.54e-07,0,0
0.00045071,-1.0616e-05,-0.0079255,1.55e-07,0,0
0.00044796,-1.0478e-05,-0.0079367,1.56e-07,0,0
0.00044475,-1.0341e-05,-0.0079479,1.57e-07,0,0
0.00044109,-1.0205e-05,-0.0079589,1.58e-07,0,0
0.00043697,-1.0072e-05,-0.0079698,1.59e-07,0,0
