"B_demag.region2_zrange51_:0","B_demag.region2_zrange51_:1","B_demag.region2_zrange51_:2","Points:0","Points:1","Points:2"
3.2763e-06,3.2776e-06,-0.007566,0,0,0
9.8272e-06,3.279e-06,-0.0075658,1e-09,0,0
1.6368e-05,3.2817e-06,-0.0075654,2e-09,0,0
2.2891e-05,3.2858e-06,-0.0075648,3e-09,0,0
2.9391e-05,3.2912e-06,-0.0075641,4e-09,0,0
3.5859e-05,3.2979e-06,-0.0075631,5e-09,0,0
4.229e-05,3.306e-06,-0.0075619,6e-09,0,0
4.8677e-05,3.3153e-06,-0.0075606,7e-09,0,0
5.5013e-05,3.326e-06,-0.0075591,8e-09,0,0
6.129e-05,3.338e-06,-0.0075573,9e-09,0,0
6.7504e-05,3.3513e-06,-0.0075554,1e-08,0,0
7.3646e-05,3.3658e-06,-0.0075533,1.1e-08,0,0
7.9711e-05,3.3816e-06,-0.0075511,1.2e-08,0,0
8.5691e-05,3.3987e-06,-0.0075486,1.3e-08,0,0
9.1581e-05,3.417e-06,-0.007546,1.4e-08,0,0
9.7374e-05,3.4365e-06,-0.0075431,1.5e-08,0,0
0.00010306,3.4573e-06,-0.0075402,1.6e-08,0,0
0.00010864,3.4792e-06,-0.007537,1.7e-08,0,0
0.00011411,3.5024e-06,-0.0075337,1.8e-08,0,0
0.00011945,3.5267e-06,-0.0075302,1.9e-08,0,0
0.00012467,3.5521e-06,-0.0075265,2e-08,0,0
0.00012975,3.5787e-06,-0.0075227,2.1e-08,0,0
0.00013469,3.6063e-06,-0.0075187,2.2e-08,0,0
0.00013949,3.6351e-06,-0.0075146,2.3e-08,0,0
0.00014414,3.6649e-06,-0.0075103,2.4e-08,0,0
0.00014863,3.6957e-06,-0.0075059,2.5e-08,0,0
0.00015296,3.7275e-06,-0.0075013,2.6e-08,0,0
0.00015712,3.7602e-06,-0.0074966,2.7e-08,0,0
0.00016111,3.794e-06,-0.0074917,2.8e-08,0,0
0.00016493,3.8286e-06,-0.0074868,2.9e-08,0,0
0.00016857,3.8641e-06,-0.0074817,3e-08,0,0
0.00017202,3.9005e-06,-0.0074764,3.1e-08,0,0
0.00017528,3.9377e-06,-0.0074711,3.2e-08,0,0
0.00017834,3.9757e-06,-0.0074656,3.3e-08,0,0
0.00018121,4.0144e-06,-0.0074601,3.4e-08,0,0
0.00018388,4.0539e-06,-0.0074544,3.5e-08,0,0
0.00018634,4.0941e-06,-0.0074487,3.6e-08,0,0
0.00018858,4.1349e-06,-0.0074428,3.7e-08,0,0
0.00019062,4.1764e-06,-0.0074369,3.8e-08,0,0
0.00019244,4.2185e-06,-0.0074308,3.9e-08,0,0
0.00019404,4.2611e-06,-0.0074247,4e-08,0,0
0.00019542,4.3042e-06,-0.0074186,4.1e-08,0,0
0.00019657,4.3478e-06,-0.0074123,4.2e-08,0,0
0.0001975,4.3918e-06,-0.007406,4.3e-08,0,0
0.0001982,4.4362e-06,-0.0073996,4.4e-08,0,0
0.00019866,4.481e-06,-0.0073932,4.5e-08,0,0
0.0001989,4.526e-06,-0.0073868,4.6e-08,0,0
0.00019889,4.5713e-06,-0.0073803,4.7e-08,0,0
0.00019866,4.6167e-06,-0.0073737,4.8e-08,0,0
0.00019818,4.6623e-06,-0.0073672,4.9e-08,0,0
0.00019746,4.708e-06,-0.0073606,5e-08,0,0
0.00019651,4.7538e-06,-0.007354,5.1e-08,0,0
0.00019532,4.7996e-06,-0.0073474,5.2e-08,0,0
0.00019389,4.8454e-06,-0.0073407,5.3e-08,0,0
0.00019222,4.8911e-06,-0.0073341,5.4e-08,0,0
0.00019031,4.9366e-06,-0.0073274,5.5e-08,0,0
0.00018816,4.982e-06,-0.0073208,5.6e-08,0,0
0.00018577,5.0272e-06,-0.0073141,5.7e-08,0,0
0.00018315,5.072e-06,-0.0073075,5.8e-08,0,0
0.0001803,5.1166e-06,-0.0073008,5.9e-08,0,0
0.00017722,5.1607e-06,-0.0072942,6e-08,0,0
0.00017391,5.2044e-06,-0.0072876,6.1e-08,0,0
0.00017037,5.2477e-06,-0.007281,6.2e-08,0,0
0.00016663,5.2903e-06,-0.0072744,6.3e-08,0,0
0.00016267,5.3324e-06,-0.0072677,6.4e-08,0,0
0.00015852,5.3738e-06,-0.0072611,6.5e-08,0,0
0.00015419,5.4145e-06,-0.0072545,6.6e-08,0,0
0.00014969,5.4544e-06,-0.0072478,6.7e-08,0,0
0.00014505,5.4935e-06,-0.0072412,6.8e-08,0,0
0.00014029,5.5317e-06,-0.0072345,6.9e-08,0,0
0.00013545,5.5689e-06,-0.0072278,7e-08,0,0
0.00013056,5.6053e-06,-0.0072211,7.1e-08,0,0
0.00012565,5.6406e-06,-0.0072144,7.2e-08,0,0
0.00012077,5.6749e-06,-0.0072077,7.3e-08,0,0
0.00011592,5.7082e-06,-0.0072012,7.4e-08,0,0
0.00011113,5.7404e-06,-0.0071947,7.5e-08,0,0
0.00010641,5.7716e-06,-0.0071883,7.6e-08,0,0
0.00010175,5.8017e-06,-0.0071821,7.7e-08,0,0
9.7155e-05,5.8307e-06,-0.0071761,7.8e-08,0,0
9.2607e-05,5.8587e-06,-0.0071704,7.9e-08,0,0
8.81e-05,5.8855e-06,-0.0071648,8e-08,0,0
8.3622e-05,5.9112e-06,-0.0071595,8.1e-08,0,0
7.9164e-05,5.9358e-06,-0.0071545,8.2e-08,0,0
7.4716e-05,5.9592e-06,-0.0071497,8.3e-08,0,0
7.0273e-05,5.9814e-06,-0.0071452,8.4e-08,0,0
6.5827e-05,6.0023e-06,-0.007141,8.5e-08,0,0
6.1374e-05,6.022e-06,-0.007137,8.6e-08,0,0
5.691e-05,6.0404e-06,-0.0071334,8.7e-08,0,0
5.2434e-05,6.0576e-06,-0.00713,8.8e-08,0,0
4.7943e-05,6.0734e-06,-0.0071269,8.9e-08,0,0
4.3436e-05,6.0878e-06,-0.007124,9e-08,0,0
3.8915e-05,6.1008e-06,-0.0071215,9.1e-08,0,0
3.4378e-05,6.1125e-06,-0.0071192,9.2e-08,0,0
2.9826e-05,6.1227e-06,-0.0071172,9.3e-08,0,0
2.5262e-05,6.1315e-06,-0.0071155,9.4e-08,0,0
2.0685e-05,6.1389e-06,-0.0071141,9.5e-08,0,0
1.6099e-05,6.1448e-06,-0.0071129,9.6e-08,0,0
1.1505e-05,6.1492e-06,-0.0071121,9.7e-08,0,0
6.9058e-06,6.1522e-06,-0.0071115,9.8e-08,0,0
2.3027e-06,6.1536e-06,-0.0071112,9.9e-08,0,0
-2.3015e-06,6.1536e-06,-0.0071112,1e-07,0,0
-6.9047e-06,6.1522e-06,-0.0071115,1.01e-07,0,0
-1.1504e-05,6.1492e-06,-0.0071121,1.02e-07,0,0
-1.6098e-05,6.1448e-06,-0.0071129,1.03e-07,0,0
-2.0684e-05,6.139e-06,-0.0071141,1.04e-07,0,0
-2.5261e-05,6.1316e-06,-0.0071155,1.05e-07,0,0
-2.9825e-05,6.1229e-06,-0.0071172,1.06e-07,0,0
-3.4377e-05,6.1127e-06,-0.0071192,1.07e-07,0,0
-3.8914e-05,6.1011e-06,-0.0071215,1.08e-07,0,0
-4.3436e-05,6.0881e-06,-0.007124,1.09e-07,0,0
-4.7942e-05,6.0737e-06,-0.0071269,1.1e-07,0,0
-5.2433e-05,6.058e-06,-0.00713,1.11e-07,0,0
-5.6909e-05,6.0409e-06,-0.0071334,1.12e-07,0,0
-6.1373e-05,6.0225e-06,-0.007137,1.13e-07,0,0
-6.5826e-05,6.0028e-06,-0.007141,1.14e-07,0,0
-7.0272e-05,5.9818e-06,-0.0071452,1.15e-07,0,0
-7.4716e-05,5.9596e-06,-0.0071497,1.16e-07,0,0
-7.9163e-05,5.9361e-06,-0.0071545,1.17e-07,0,0
-8.3621e-05,5.9115e-06,-0.0071595,1.18e-07,0,0
-8.8099e-05,5.8857e-06,-0.0071648,1.19e-07,0,0
-9.2607e-05,5.8588e-06,-0.0071704,1.2e-07,0,0
-9.7154e-05,5.8307e-06,-0.0071761,1.21e-07,0,0
-0.00010175,5.8016e-06,-0.0071821,1.22e-07,0,0
-0.00010641,5.7714e-06,-0.0071883,1.23e-07,0,0
-0.00011113,5.7401e-06,-0.0071947,1.24e-07,0,0
-0.00011592,5.7077e-06,-0.0072011,1.25e-07,0,0
-0.00012077,5.6744e-06,-0.0072077,1.26e-07,0,0
-0.00012565,5.64e-06,-0.0072144,1.27e-07,0,0
-0.00013056,5.6046e-06,-0.0072211,1.28e-07,0,0
-0.00013545,5.5682e-06,-0.0072278,1.29e-07,0,0
-0.00014029,5.5308e-06,-0.0072345,1.3e-07,0,0
-0.00014505,5.4925e-06,-0.0072412,1.31e-07,0,0
-0.00014969,5.4533e-06,-0.0072478,1.32e-07,0,0
-0.00015419,5.4133e-06,-0.0072545,1.33e-07,0,0
