"m_zrange285_:0","m_zrange285_:1","m_zrange285_:2","Points:0","Points:1","Points:2"
-3.3062e-05,-3.3062e-05,-1,0,0,0
-9.9189e-05,-3.3134e-05,-1,1e-09,0,0
-0.00016531,-3.3277e-05,-1,2e-09,0,0
-0.00023143,-3.3491e-05,-1,3e-09,0,0
-0.00029753,-3.3779e-05,-1,4e-09,0,0
-0.00036362,-3.4139e-05,-1,5e-09,0,0
-0.00042968,-3.4568e-05,-1,6e-09,0,0
-0.00049572,-3.5072e-05,-1,7e-09,0,0
-0.00056172,-3.5649e-05,-1,8e-09,0,0
-0.00062769,-3.6304e-05,-1,9e-09,0,0
-0.00069361,-3.7031e-05,-1,1e-08,0,0
-0.00075947,-3.7835e-05,-1,1.1e-08,0,0
-0.00082526,-3.8713e-05,-1,1.2e-08,0,0
-0.00089096,-3.9673e-05,-1,1.3e-08,0,0
-0.00095656,-4.0712e-05,-1,1.4e-08,0,0
-0.0010221,-4.1833e-05,-1,1.5e-08,0,0
-0.0010874,-4.3036e-05,-1,1.6e-08,0,0
-0.0011526,-4.4319e-05,-1,1.7e-08,0,0
-0.0012176,-4.5689e-05,-1,1.8e-08,0,0
-0.0012824,-4.7139e-05,-1,1.9e-08,0,0
-0.001347,-4.8679e-05,-1,2e-08,0,0
-0.0014113,-5.0302e-05,-1,2.1e-08,0,0
-0.0014753,-5.202e-05,-1,2.2e-08,0,0
-0.001539,-5.3825e-05,-1,2.3e-08,0,0
-0.0016022,-5.5727e-05,-1,2.4e-08,0,0
-0.0016651,-5.7718e-05,-1,2.5e-08,0,0
-0.0017275,-5.9809e-05,-1,2.6e-08,0,0
-0.0017894,-6.1994e-05,-1,2.7e-08,0,0
-0.0018507,-6.4282e-05,-1,2.8e-08,0,0
-0.0019114,-6.6664e-05,-1,2.9e-08,0,0
-0.0019715,-6.9145e-05,-1,3e-08,0,0
-0.0020307,-7.1736e-05,-1,3.1e-08,0,0
-0.0020892,-7.4426e-05,-1,3.2e-08,0,0
-0.0021468,-7.7219e-05,-1,3.3e-08,0,0
-0.0022034,-8.0116e-05,-1,3.4e-08,0,0
-0.002259,-8.312e-05,-1,3.5e-08,0,0
-0.0023135,-8.623e-05,-1,3.6e-08,0,0
-0.0023668,-8.945e-05,-1,3.7e-08,0,0
-0.0024188,-9.2777e-05,-1,3.8e-08,0,0
-0.0024695,-9.6214e-05,-1,3.9e-08,0,0
-0.0025187,-9.9762e-05,-1,4e-08,0,0
-0.0025664,-0.00010341,-1,4.1e-08,0,0
-0.0026124,-0.00010718,-1,4.2e-08,0,0
-0.0026566,-0.00011105,-1,4.3e-08,0,0
-0.002699,-0.00011503,-1,4.4e-08,0,0
-0.0027395,-0.00011911,-1,4.5e-08,0,0
-0.0027778,-0.0001233,-1,4.6e-08,0,0
-0.002814,-0.00012759,-1,4.7e-08,0,0
-0.002848,-0.00013198,-1,4.8e-08,0,0
-0.0028795,-0.00013647,-1,4.9e-08,0,0
-0.0029086,-0.00014106,-1,5e-08,0,0
-0.002935,-0.00014574,-1,5.1e-08,0,0
-0.0029587,-0.00015051,-1,5.2e-08,0,0
-0.0029796,-0.00015537,-1,5.3e-08,0,0
-0.0029975,-0.00016031,-1,5.4e-08,0,0
-0.0030124,-0.00016533,-1,5.5e-08,0,0
-0.0030241,-0.00017042,-1,5.6e-08,0,0
-0.0030326,-0.00017558,-1,5.7e-08,0,0
-0.0030377,-0.00018081,-1,5.8e-08,0,0
-0.0030393,-0.00018609,-1,5.9e-08,0,0
-0.0030374,-0.00019142,-1,6e-08,0,0
-0.0030319,-0.00019679,-1,6.1e-08,0,0
-0.0030226,-0.00020221,-1,6.2e-08,0,0
-0.0030095,-0.00020765,-1,6.3e-08,0,0
-0.0029925,-0.00021311,-1,6.4e-08,0,0
-0.0029716,-0.00021858,-1,6.5e-08,0,0
-0.0029466,-0.00022406,-1,6.6e-08,0,0
-0.0029176,-0.00022954,-1,6.7e-08,0,0
-0.0028844,-0.000235,-1,6.8e-08,0,0
-0.0028471,-0.00024044,-1,6.9e-08,0,0
-0.0028056,-0.00024584,-1,7e-08,0,0
-0.00276,-0.0002512,-1,7.1e-08,0,0
-0.0027101,-0.00025651,-1,7.2e-08,0,0
-0.0026561,-0.00026176,-1,7.3e-08,0,0
-0.0025979,-0.00026693,-1,7.4e-08,0,0
