"B_demag.region2:0","B_demag.region2:1","B_demag.region2:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-3.7399e-11,-3.1546e-05,-0.00028366,1,0,1.275e-07,1e-07,1.96e-07
-3.7523e-11,-3.1531e-05,-0.00028357,1,5.5003e-11,1.275e-07,1.0005e-07,1.96e-07
-3.7647e-11,-3.1516e-05,-0.00028348,1,1.1e-10,1.275e-07,1.0011e-07,1.96e-07
-3.7771e-11,-3.1501e-05,-0.00028339,1,1.65e-10,1.275e-07,1.0016e-07,1.96e-07
-3.7894e-11,-3.1486e-05,-0.0002833,1,2.2e-10,1.275e-07,1.0022e-07,1.96e-07
-3.8018e-11,-3.1471e-05,-0.00028321,1,2.75e-10,1.275e-07,1.0027e-07,1.96e-07
-3.8142e-11,-3.1456e-05,-0.00028313,1,3.3e-10,1.275e-07,1.0033e-07,1.96e-07
-3.8266e-11,-3.1442e-05,-0.00028304,1,3.85e-10,1.275e-07,1.0038e-07,1.96e-07
-3.839e-11,-3.1427e-05,-0.00028295,1,4.4e-10,1.275e-07,1.0044e-07,1.96e-07
-3.8514e-11,-3.1412e-05,-0.00028286,1,4.95e-10,1.275e-07,1.0049e-07,1.96e-07
-3.8638e-11,-3.1397e-05,-0.00028277,1,5.5e-10,1.275e-07,1.0055e-07,1.96e-07
-3.8762e-11,-3.1382e-05,-0.00028268,1,6.05e-10,1.275e-07,1.006e-07,1.96e-07
-3.8886e-11,-3.1367e-05,-0.00028259,1,6.6e-10,1.275e-07,1.0066e-07,1.96e-07
-3.9009e-11,-3.1352e-05,-0.0002825,1,7.15e-10,1.275e-07,1.0071e-07,1.96e-07
-3.9133e-11,-3.1337e-05,-0.00028241,1,7.7e-10,1.275e-07,1.0077e-07,1.96e-07
-3.9257e-11,-3.1322e-05,-0.00028232,1,8.25e-10,1.275e-07,1.0082e-07,1.96e-07
-3.9381e-11,-3.1308e-05,-0.00028223,1,8.8e-10,1.275e-07,1.0088e-07,1.96e-07
-3.9505e-11,-3.1293e-05,-0.00028214,1,9.35e-10,1.275e-07,1.0093e-07,1.96e-07
-3.9629e-11,-3.1278e-05,-0.00028205,1,9.9e-10,1.275e-07,1.0099e-07,1.96e-07
-3.9718e-11,-3.126e-05,-0.00028196,1,1.045e-09,1.275e-07,1.0104e-07,1.96e-07
-3.98e-11,-3.1241e-05,-0.00028187,1,1.1e-09,1.275e-07,1.011e-07,1.96e-07
