"B_demag.region2:0","B_demag.region2:1","B_demag.region2:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.1801e-11,8.0509e-08,-0.00032849,1,0,1.275e-07,0,6.4e-08
-1.1824e-11,1.2159e-07,-0.00032849,1,2.55e-10,1.275e-07,2.55e-10,6.4e-08
-1.1848e-11,1.6268e-07,-0.00032849,1,5.1e-10,1.275e-07,5.1e-10,6.4e-08
-1.1872e-11,2.0376e-07,-0.00032849,1,7.65e-10,1.275e-07,7.65e-10,6.4e-08
-1.1932e-11,2.4485e-07,-0.00032849,1,1.02e-09,1.275e-07,1.02e-09,6.4e-08
-1.2424e-11,2.8598e-07,-0.00032849,1,1.275e-09,1.275e-07,1.275e-09,6.4e-08
-1.2915e-11,3.271e-07,-0.00032849,1,1.53e-09,1.275e-07,1.53e-09,6.4e-08
-1.3406e-11,3.6822e-07,-0.00032849,1,1.785e-09,1.275e-07,1.785e-09,6.4e-08
-1.3949e-11,4.0935e-07,-0.00032849,1,2.04e-09,1.275e-07,2.04e-09,6.4e-08
-1.4763e-11,4.5054e-07,-0.00032848,1,2.295e-09,1.275e-07,2.295e-09,6.4e-08
-1.5578e-11,4.9172e-07,-0.00032848,1,2.55e-09,1.275e-07,2.55e-09,6.4e-08
-1.6393e-11,5.3291e-07,-0.00032848,1,2.805e-09,1.275e-07,2.805e-09,6.4e-08
-1.727e-11,5.7411e-07,-0.00032848,1,3.06e-09,1.275e-07,3.06e-09,6.4e-08
-1.8351e-11,6.1538e-07,-0.00032848,1,3.315e-09,1.275e-07,3.315e-09,6.4e-08
-1.9432e-11,6.5665e-07,-0.00032848,1,3.57e-09,1.275e-07,3.57e-09,6.4e-08
-2.0512e-11,6.9793e-07,-0.00032847,1,3.825e-09,1.275e-07,3.825e-09,6.4e-08
-2.1681e-11,7.3923e-07,-0.00032847,1,4.08e-09,1.275e-07,4.08e-09,6.4e-08
-2.3043e-11,7.8061e-07,-0.00032847,1,4.335e-09,1.275e-07,4.335e-09,6.4e-08
-2.4405e-11,8.22e-07,-0.00032847,1,4.59e-09,1.275e-07,4.59e-09,6.4e-08
-2.5766e-11,8.6338e-07,-0.00032846,1,4.845e-09,1.275e-07,4.845e-09,6.4e-08
-2.719e-11,9.0481e-07,-0.00032846,1,5.1e-09,1.275e-07,5.1e-09,6.4e-08
-2.871e-11,9.4633e-07,-0.00032846,1,5.355e-09,1.275e-07,5.355e-09,6.4e-08
-3.0229e-11,9.8785e-07,-0.00032846,1,5.61e-09,1.275e-07,5.61e-09,6.4e-08
-3.1749e-11,1.0294e-06,-0.00032845,1,5.865e-09,1.275e-07,5.865e-09,6.4e-08
-3.3382e-11,1.071e-06,-0.00032845,1,6.12e-09,1.275e-07,6.12e-09,6.4e-08
-3.5143e-11,1.1126e-06,-0.00032845,1,6.375e-09,1.275e-07,6.375e-09,6.4e-08
-3.6904e-11,1.1543e-06,-0.00032844,1,6.63e-09,1.275e-07,6.63e-09,6.4e-08
-3.8664e-11,1.196e-06,-0.00032844,1,6.885e-09,1.275e-07,6.885e-09,6.4e-08
-4.0299e-11,1.2378e-06,-0.00032844,1,7.14e-09,1.275e-07,7.14e-09,6.4e-08
-4.1831e-11,1.2796e-06,-0.00032843,1,7.395e-09,1.275e-07,7.395e-09,6.4e-08
-4.3362e-11,1.3215e-06,-0.00032843,1,7.65e-09,1.275e-07,7.65e-09,6.4e-08
-4.4893e-11,1.3633e-06,-0.00032842,1,7.905e-09,1.275e-07,7.905e-09,6.4e-08
-4.6289e-11,1.4053e-06,-0.00032842,1,8.16e-09,1.275e-07,8.16e-09,6.4e-08
-4.7605e-11,1.4474e-06,-0.00032841,1,8.415e-09,1.275e-07,8.415e-09,6.4e-08
-4.892e-11,1.4895e-06,-0.00032841,1,8.67e-09,1.275e-07,8.67e-09,6.4e-08
-5.0236e-11,1.5315e-06,-0.0003284,1,8.925e-09,1.275e-07,8.925e-09,6.4e-08
-5.138e-11,1.5738e-06,-0.0003284,1,9.18e-09,1.275e-07,9.18e-09,6.4e-08
-5.2453e-11,1.6161e-06,-0.00032839,1,9.435e-09,1.275e-07,9.435e-09,6.4e-08
-5.3525e-11,1.6584e-06,-0.00032839,1,9.69e-09,1.275e-07,9.69e-09,6.4e-08
-5.4598e-11,1.7007e-06,-0.00032838,1,9.945e-09,1.275e-07,9.945e-09,6.4e-08
-5.5426e-11,1.7432e-06,-0.00032838,1,1.02e-08,1.275e-07,1.02e-08,6.4e-08
-5.6187e-11,1.7857e-06,-0.00032837,1,1.0455e-08,1.275e-07,1.0455e-08,6.4e-08
-5.6948e-11,1.8283e-06,-0.00032837,1,1.071e-08,1.275e-07,1.071e-08,6.4e-08
-5.7709e-11,1.8708e-06,-0.00032836,1,1.0965e-08,1.275e-07,1.0965e-08,6.4e-08
-5.8076e-11,1.9136e-06,-0.00032836,1,1.122e-08,1.275e-07,1.122e-08,6.4e-08
-5.838e-11,1.9565e-06,-0.00032835,1,1.1475e-08,1.275e-07,1.1475e-08,6.4e-08
-5.8684e-11,1.9993e-06,-0.00032834,1,1.173e-08,1.275e-07,1.173e-08,6.4e-08
-5.8988e-11,2.0421e-06,-0.00032834,1,1.1985e-08,1.275e-07,1.1985e-08,6.4e-08
-5.8982e-11,2.0853e-06,-0.00032833,1,1.224e-08,1.275e-07,1.224e-08,6.4e-08
-5.8958e-11,2.1284e-06,-0.00032832,1,1.2495e-08,1.275e-07,1.2495e-08,6.4e-08
-5.8933e-11,2.1715e-06,-0.00032832,1,1.275e-08,1.275e-07,1.275e-08,6.4e-08
-5.89e-11,2.2147e-06,-0.00032831,1,1.3005e-08,1.275e-07,1.3005e-08,6.4e-08
-5.8476e-11,2.2582e-06,-0.0003283,1,1.326e-08,1.275e-07,1.326e-08,6.4e-08
-5.8052e-11,2.3016e-06,-0.00032829,1,1.3515e-08,1.275e-07,1.3515e-08,6.4e-08
-5.7627e-11,2.3451e-06,-0.00032829,1,1.377e-08,1.275e-07,1.377e-08,6.4e-08
-5.7171e-11,2.3886e-06,-0.00032828,1,1.4025e-08,1.275e-07,1.4025e-08,6.4e-08
-5.6415e-11,2.4324e-06,-0.00032827,1,1.428e-08,1.275e-07,1.428e-08,6.4e-08
-5.5659e-11,2.4762e-06,-0.00032826,1,1.4535e-08,1.275e-07,1.4535e-08,6.4e-08
-5.4903e-11,2.5201e-06,-0.00032826,1,1.479e-08,1.275e-07,1.479e-08,6.4e-08
-5.4025e-11,2.564e-06,-0.00032825,1,1.5045e-08,1.275e-07,1.5045e-08,6.4e-08
-5.2571e-11,2.6081e-06,-0.00032824,1,1.53e-08,1.275e-07,1.53e-08,6.4e-08
-5.1118e-11,2.6523e-06,-0.00032823,1,1.5555e-08,1.275e-07,1.5555e-08,6.4e-08
-4.9665e-11,2.6965e-06,-0.00032822,1,1.581e-08,1.275e-07,1.581e-08,6.4e-08
-4.8195e-11,2.7408e-06,-0.00032821,1,1.6065e-08,1.275e-07,1.6065e-08,6.4e-08
-4.6674e-11,2.7854e-06,-0.0003282,1,1.632e-08,1.275e-07,1.632e-08,6.4e-08
-4.5153e-11,2.83e-06,-0.00032819,1,1.6575e-08,1.275e-07,1.6575e-08,6.4e-08
-4.3632e-11,2.8747e-06,-0.00032818,1,1.683e-08,1.275e-07,1.683e-08,6.4e-08
-4.2089e-11,2.9194e-06,-0.00032817,1,1.7085e-08,1.275e-07,1.7085e-08,6.4e-08
-4.0503e-11,2.9644e-06,-0.00032816,1,1.734e-08,1.275e-07,1.734e-08,6.4e-08
-3.8916e-11,3.0094e-06,-0.00032815,1,1.7595e-08,1.275e-07,1.7595e-08,6.4e-08
-3.733e-11,3.0545e-06,-0.00032814,1,1.785e-08,1.275e-07,1.785e-08,6.4e-08
-3.5707e-11,3.0997e-06,-0.00032813,1,1.8105e-08,1.275e-07,1.8105e-08,6.4e-08
-3.4032e-11,3.1452e-06,-0.00032812,1,1.836e-08,1.275e-07,1.836e-08,6.4e-08
