"B_demag.region2_zrange260_:0","B_demag.region2_zrange260_:1","B_demag.region2_zrange260_:2","Points:0","Points:1","Points:2"
1.1524e-05,1.1614e-05,0.015921,0,0,0
3.4651e-05,1.1708e-05,0.015921,1e-09,0,0
5.7742e-05,1.1807e-05,0.015919,2e-09,0,0
8.0775e-05,1.1911e-05,0.015917,3e-09,0,0
0.00010373,1.2019e-05,0.015915,4e-09,0,0
0.00012657,1.2132e-05,0.015911,5e-09,0,0
0.00014929,1.2249e-05,0.015907,6e-09,0,0
0.00017186,1.2371e-05,0.015903,7e-09,0,0
0.00019425,1.2496e-05,0.015897,8e-09,0,0
0.00021644,1.2627e-05,0.015891,9e-09,0,0
0.00023842,1.2761e-05,0.015885,1e-08,0,0
0.00026015,1.2899e-05,0.015878,1.1e-08,0,0
0.00028162,1.3041e-05,0.01587,1.2e-08,0,0
0.0003028,1.3188e-05,0.015861,1.3e-08,0,0
0.00032367,1.3338e-05,0.015852,1.4e-08,0,0
0.00034421,1.3492e-05,0.015842,1.5e-08,0,0
0.0003644,1.3649e-05,0.015832,1.6e-08,0,0
0.00038422,1.381e-05,0.015821,1.7e-08,0,0
0.00040365,1.3975e-05,0.01581,1.8e-08,0,0
0.00042266,1.4142e-05,0.015798,1.9e-08,0,0
0.00044124,1.4313e-05,0.015785,2e-08,0,0
0.00045937,1.4488e-05,0.015772,2.1e-08,0,0
0.00047702,1.4665e-05,0.015758,2.2e-08,0,0
0.00049419,1.4845e-05,0.015744,2.3e-08,0,0
0.00051084,1.5028e-05,0.015729,2.4e-08,0,0
0.00052697,1.5213e-05,0.015714,2.5e-08,0,0
0.00054255,1.5402e-05,0.015698,2.6e-08,0,0
0.00055758,1.5592e-05,0.015682,2.7e-08,0,0
0.00057202,1.5785e-05,0.015665,2.8e-08,0,0
0.00058587,1.598e-05,0.015648,2.9e-08,0,0
0.00059912,1.6177e-05,0.01563,3e-08,0,0
0.00061174,1.6376e-05,0.015612,3.1e-08,0,0
0.00062372,1.6577e-05,0.015594,3.2e-08,0,0
0.00063506,1.6779e-05,0.015575,3.3e-08,0,0
0.00064573,1.6983e-05,0.015556,3.4e-08,0,0
0.00065572,1.7188e-05,0.015536,3.5e-08,0,0
0.00066503,1.7395e-05,0.015517,3.6e-08,0,0
0.00067365,1.7602e-05,0.015496,3.7e-08,0,0
0.00068156,1.781e-05,0.015476,3.8e-08,0,0
0.00068875,1.8019e-05,0.015455,3.9e-08,0,0
0.00069522,1.8229e-05,0.015434,4e-08,0,0
0.00070096,1.8439e-05,0.015413,4.1e-08,0,0
0.00070596,1.8649e-05,0.015392,4.2e-08,0,0
0.00071023,1.8859e-05,0.01537,4.3e-08,0,0
0.00071374,1.9069e-05,0.015348,4.4e-08,0,0
0.00071651,1.9279e-05,0.015326,4.5e-08,0,0
0.00071853,1.9488e-05,0.015304,4.6e-08,0,0
0.00071979,1.9697e-05,0.015282,4.7e-08,0,0
0.0007203,1.9904e-05,0.01526,4.8e-08,0,0
0.00072005,2.0111e-05,0.015237,4.9e-08,0,0
0.00071906,2.0316e-05,0.015215,5e-08,0,0
0.00071731,2.0519e-05,0.015192,5.1e-08,0,0
0.00071482,2.072e-05,0.01517,5.2e-08,0,0
0.00071159,2.092e-05,0.015147,5.3e-08,0,0
0.00070763,2.1116e-05,0.015125,5.4e-08,0,0
0.00070294,2.131e-05,0.015103,5.5e-08,0,0
0.00069754,2.1501e-05,0.01508,5.6e-08,0,0
0.00069143,2.1689e-05,0.015058,5.7e-08,0,0
0.00068462,2.1873e-05,0.015036,5.8e-08,0,0
0.00067713,2.2052e-05,0.015014,5.9e-08,0,0
0.00066897,2.2227e-05,0.014992,6e-08,0,0
0.00066015,2.2398e-05,0.014971,6.1e-08,0,0
0.00065069,2.2563e-05,0.014949,6.2e-08,0,0
0.0006406,2.2722e-05,0.014928,6.3e-08,0,0
0.00062991,2.2875e-05,0.014907,6.4e-08,0,0
0.00061863,2.3021e-05,0.014887,6.5e-08,0,0
0.00060678,2.316e-05,0.014867,6.6e-08,0,0
0.00059437,2.3292e-05,0.014847,6.7e-08,0,0
0.00058144,2.3415e-05,0.014827,6.8e-08,0,0
0.00056799,2.353e-05,0.014808,6.9e-08,0,0
0.00055406,2.3636e-05,0.014789,7e-08,0,0
0.00053966,2.3732e-05,0.01477,7.1e-08,0,0
0.0005248,2.3819e-05,0.014752,7.2e-08,0,0
0.00050952,2.3895e-05,0.014734,7.3e-08,0,0
0.00049384,2.3961e-05,0.014717,7.4e-08,0,0
0.00047776,2.4016e-05,0.0147,7.5e-08,0,0
0.00046132,2.406e-05,0.014684,7.6e-08,0,0
0.00044454,2.4093e-05,0.014668,7.7e-08,0,0
0.00042742,2.4115e-05,0.014653,7.8e-08,0,0
0.00040999,2.4125e-05,0.014639,7.9e-08,0,0
0.00039228,2.4124e-05,0.014625,8e-08,0,0
0.00037428,2.4112e-05,0.014611,8.1e-08,0,0
0.00035603,2.4088e-05,0.014598,8.2e-08,0,0
0.00033753,2.4053e-05,0.014586,8.3e-08,0,0
0.00031881,2.4008e-05,0.014574,8.4e-08,0,0
0.00029987,2.3951e-05,0.014563,8.5e-08,0,0
0.00028074,2.3884e-05,0.014553,8.6e-08,0,0
0.00026142,2.3807e-05,0.014543,8.7e-08,0,0
0.00024193,2.372e-05,0.014534,8.8e-08,0,0
0.00022229,2.3624e-05,0.014526,8.9e-08,0,0
0.0002025,2.3518e-05,0.014518,9e-08,0,0
0.00018258,2.3403e-05,0.014511,9.1e-08,0,0
0.00016255,2.3279e-05,0.014505,9.2e-08,0,0
0.00014241,2.3148e-05,0.014499,9.3e-08,0,0
0.00012218,2.3008e-05,0.014495,9.4e-08,0,0
0.00010188,2.286e-05,0.01449,9.5e-08,0,0
8.1509e-05,2.2706e-05,0.014487,9.6e-08,0,0
6.1089e-05,2.2544e-05,0.014485,9.7e-08,0,0
4.0629e-05,2.2376e-05,0.014483,9.8e-08,0,0
2.0145e-05,2.2201e-05,0.014482,9.9e-08,0,0
-3.5275e-07,2.2021e-05,0.014481,1e-07,0,0
-2.085e-05,2.1835e-05,0.014482,1.01e-07,0,0
-4.1334e-05,2.1644e-05,0.014483,1.02e-07,0,0
-6.1791e-05,2.1448e-05,0.014485,1.03e-07,0,0
-8.2209e-05,2.1248e-05,0.014487,1.04e-07,0,0
-0.00010258,2.1044e-05,0.01449,1.05e-07,0,0
-0.00012288,2.0837e-05,0.014495,1.06e-07,0,0
-0.0001431,2.0626e-05,0.014499,1.07e-07,0,0
-0.00016323,2.0413e-05,0.014505,1.08e-07,0,0
-0.00018326,2.0197e-05,0.014511,1.09e-07,0,0
-0.00020317,1.998e-05,0.014518,1.1e-07,0,0
-0.00022295,1.9761e-05,0.014526,1.11e-07,0,0
-0.00024259,1.9542e-05,0.014534,1.12e-07,0,0
-0.00026207,1.9322e-05,0.014543,1.13e-07,0,0
-0.00028138,1.9101e-05,0.014553,1.14e-07,0,0
-0.0003005,1.8882e-05,0.014563,1.15e-07,0,0
-0.00031943,1.8663e-05,0.014574,1.16e-07,0,0
-0.00033814,1.8446e-05,0.014586,1.17e-07,0,0
-0.00035663,1.823e-05,0.014598,1.18e-07,0,0
-0.00037487,1.8017e-05,0.014611,1.19e-07,0,0
-0.00039286,1.7806e-05,0.014625,1.2e-07,0,0
-0.00041056,1.7598e-05,0.014639,1.21e-07,0,0
-0.00042798,1.7393e-05,0.014653,1.22e-07,0,0
-0.00044508,1.7191e-05,0.014668,1.23e-07,0,0
-0.00046186,1.6993e-05,0.014684,1.24e-07,0,0
-0.00047829,1.6799e-05,0.0147,1.25e-07,0,0
-0.00049435,1.6608e-05,0.014717,1.26e-07,0,0
-0.00051002,1.6421e-05,0.014734,1.27e-07,0,0
-0.00052529,1.6238e-05,0.014752,1.28e-07,0,0
-0.00054013,1.6058e-05,0.01477,1.29e-07,0,0
-0.00055452,1.5883e-05,0.014789,1.3e-07,0,0
-0.00056844,1.5711e-05,0.014808,1.31e-07,0,0
-0.00058188,1.5542e-05,0.014827,1.32e-07,0,0
-0.0005948,1.5377e-05,0.014847,1.33e-07,0,0
-0.00060719,1.5216e-05,0.014867,1.34e-07,0,0
-0.00061903,1.5057e-05,0.014887,1.35e-07,0,0
-0.0006303,1.4901e-05,0.014907,1.36e-07,0,0
-0.00064098,1.4748e-05,0.014928,1.37e-07,0,0
-0.00065105,1.4597e-05,0.014949,1.38e-07,0,0
-0.0006605,1.445e-05,0.014971,1.39e-07,0,0
-0.00066931,1.4304e-05,0.014992,1.4e-07,0,0
-0.00067746,1.4161e-05,0.015014,1.41e-07,0,0
-0.00068494,1.402e-05,0.015036,1.42e-07,0,0
-0.00069174,1.3881e-05,0.015058,1.43e-07,0,0
-0.00069784,1.3744e-05,0.01508,1.44e-07,0,0
-0.00070324,1.361e-05,0.015103,1.45e-07,0,0
-0.00070792,1.3477e-05,0.015125,1.46e-07,0,0
-0.00071187,1.3347e-05,0.015147,1.47e-07,0,0
-0.00071509,1.3219e-05,0.01517,1.48e-07,0,0
-0.00071757,1.3093e-05,0.015192,1.49e-07,0,0
-0.00071931,1.297e-05,0.015215,1.5e-07,0,0
-0.0007203,1.2848e-05,0.015237,1.51e-07,0,0
-0.00072053,1.2729e-05,0.01526,1.52e-07,0,0
-0.00072002,1.2613e-05,0.015282,1.53e-07,0,0
-0.00071875,1.2499e-05,0.015304,1.54e-07,0,0
-0.00071673,1.2388e-05,0.015326,1.55e-07,0,0
-0.00071395,1.2279e-05,0.015348,1.56e-07,0,0
-0.00071043,1.2174e-05,0.01537,1.57e-07,0,0
-0.00070616,1.2071e-05,0.015392,1.58e-07,0,0
-0.00070115,1.1971e-05,0.015413,1.59e-07,0,0
-0.0006954,1.1875e-05,0.015434,1.6e-07,0,0
-0.00068893,1.1782e-05,0.015455,1.61e-07,0,0
-0.00068173,1.1692e-05,0.015476,1.62e-07,0,0
-0.00067382,1.1606e-05,0.015496,1.63e-07,0,0
-0.0006652,1.1523e-05,0.015517,1.64e-07,0,0
-0.00065588,1.1444e-05,0.015536,1.65e-07,0,0
-0.00064588,1.1369e-05,0.015556,1.66e-07,0,0
-0.00063521,1.1297e-05,0.015575,1.67e-07,0,0
-0.00062387,1.123e-05,0.015594,1.68e-07,0,0
-0.00061188,1.1167e-05,0.015612,1.69e-07,0,0
-0.00059926,1.1108e-05,0.01563,1.7e-07,0,0
-0.00058601,1.1053e-05,0.015648,1.71e-07,0,0
-0.00057215,1.1002e-05,0.015665,1.72e-07,0,0
-0.00055771,1.0956e-05,0.015682,1.73e-07,0,0
-0.00054268,1.0914e-05,0.015698,1.74e-07,0,0
-0.00052709,1.0877e-05,0.015714,1.75e-07,0,0
-0.00051096,1.0845e-05,0.015729,1.76e-07,0,0
-0.00049431,1.0817e-05,0.015744,1.77e-07,0,0
-0.00047714,1.0793e-05,0.015758,1.78e-07,0,0
-0.00045948,1.0775e-05,0.015772,1.79e-07,0,0
-0.00044135,1.0761e-05,0.015785,1.8e-07,0,0
-0.00042277,1.0752e-05,0.015798,1.81e-07,0,0
-0.00040376,1.0748e-05,0.01581,1.82e-07,0,0
-0.00038433,1.0749e-05,0.015821,1.83e-07,0,0
-0.00036451,1.0755e-05,0.015832,1.84e-07,0,0
-0.00034432,1.0766e-05,0.015842,1.85e-07,0,0
-0.00032377,1.0781e-05,0.015852,1.86e-07,0,0
-0.0003029,1.0802e-05,0.015861,1.87e-07,0,0
-0.00028171,1.0828e-05,0.01587,1.88e-07,0,0
-0.00026025,1.0859e-05,0.015878,1.89e-07,0,0
