"B_demag.region2_zrange0_:0","B_demag.region2_zrange0_:1","B_demag.region2_zrange0_:2","Points:0","Points:1","Points:2"
-1.6999e-05,-1.6837e-05,0.015918,0,0,0
-5.0815e-05,-1.6685e-05,0.015917,1e-09,0,0
-8.4579e-05,-1.6538e-05,0.015915,2e-09,0,0
-0.00011826,-1.6399e-05,0.015912,3e-09,0,0
-0.00015181,-1.6265e-05,0.015908,4e-09,0,0
-0.00018521,-1.6139e-05,0.015903,5e-09,0,0
-0.00021843,-1.602e-05,0.015897,6e-09,0,0
-0.00025141,-1.5907e-05,0.01589,7e-09,0,0
-0.00028414,-1.5801e-05,0.015882,8e-09,0,0
-0.00031658,-1.5703e-05,0.015873,9e-09,0,0
-0.00034869,-1.5611e-05,0.015863,1e-08,0,0
-0.00038045,-1.5526e-05,0.015852,1.1e-08,0,0
-0.00041181,-1.5449e-05,0.01584,1.2e-08,0,0
-0.00044276,-1.5378e-05,0.015827,1.3e-08,0,0
-0.00047324,-1.5315e-05,0.015813,1.4e-08,0,0
-0.00050324,-1.5258e-05,0.015799,1.5e-08,0,0
-0.00053272,-1.5209e-05,0.015783,1.6e-08,0,0
-0.00056166,-1.5167e-05,0.015766,1.7e-08,0,0
-0.00059001,-1.5133e-05,0.015749,1.8e-08,0,0
-0.00061776,-1.5105e-05,0.015731,1.9e-08,0,0
-0.00064487,-1.5084e-05,0.015712,2e-08,0,0
-0.00067132,-1.5071e-05,0.015692,2.1e-08,0,0
-0.00069707,-1.5064e-05,0.015671,2.2e-08,0,0
-0.0007221,-1.5065e-05,0.015649,2.3e-08,0,0
-0.00074639,-1.5072e-05,0.015627,2.4e-08,0,0
-0.00076991,-1.5087e-05,0.015604,2.5e-08,0,0
-0.00079263,-1.5108e-05,0.01558,2.6e-08,0,0
-0.00081453,-1.5136e-05,0.015556,2.7e-08,0,0
-0.00083559,-1.5171e-05,0.01553,2.8e-08,0,0
-0.00085578,-1.5213e-05,0.015504,2.9e-08,0,0
-0.00087509,-1.5261e-05,0.015478,3e-08,0,0
-0.00089349,-1.5316e-05,0.015451,3.1e-08,0,0
-0.00091097,-1.5377e-05,0.015423,3.2e-08,0,0
-0.00092751,-1.5445e-05,0.015395,3.3e-08,0,0
-0.00094308,-1.5519e-05,0.015366,3.4e-08,0,0
-0.00095769,-1.5599e-05,0.015336,3.5e-08,0,0
-0.0009713,-1.5686e-05,0.015306,3.6e-08,0,0
-0.00098391,-1.5778e-05,0.015276,3.7e-08,0,0
-0.0009955,-1.5877e-05,0.015245,3.8e-08,0,0
-0.0010061,-1.5982e-05,0.015214,3.9e-08,0,0
-0.0010156,-1.6092e-05,0.015183,4e-08,0,0
-0.0010241,-1.6208e-05,0.015151,4.1e-08,0,0
-0.0010315,-1.633e-05,0.015118,4.2e-08,0,0
-0.0010379,-1.6458e-05,0.015086,4.3e-08,0,0
-0.0010432,-1.6591e-05,0.015053,4.4e-08,0,0
-0.0010475,-1.673e-05,0.01502,4.5e-08,0,0
-0.0010507,-1.6874e-05,0.014987,4.6e-08,0,0
-0.0010528,-1.7024e-05,0.014954,4.7e-08,0,0
-0.0010539,-1.7179e-05,0.01492,4.8e-08,0,0
-0.0010539,-1.734e-05,0.014886,4.9e-08,0,0
-0.0010528,-1.7506e-05,0.014853,5e-08,0,0
-0.0010507,-1.7678e-05,0.014819,5.1e-08,0,0
-0.0010476,-1.7855e-05,0.014785,5.2e-08,0,0
-0.0010434,-1.8038e-05,0.014752,5.3e-08,0,0
-0.0010382,-1.8227e-05,0.014718,5.4e-08,0,0
-0.001032,-1.8421e-05,0.014685,5.5e-08,0,0
-0.0010248,-1.8621e-05,0.014651,5.6e-08,0,0
-0.0010166,-1.8826e-05,0.014618,5.7e-08,0,0
-0.0010074,-1.9038e-05,0.014585,5.8e-08,0,0
-0.00099727,-1.9255e-05,0.014552,5.9e-08,0,0
-0.00098619,-1.9478e-05,0.01452,6e-08,0,0
-0.00097419,-1.9707e-05,0.014488,6.1e-08,0,0
-0.00096128,-1.9943e-05,0.014456,6.2e-08,0,0
-0.00094749,-2.0184e-05,0.014424,6.3e-08,0,0
-0.00093282,-2.0431e-05,0.014393,6.4e-08,0,0
-0.0009173,-2.0684e-05,0.014363,6.5e-08,0,0
-0.00090095,-2.0943e-05,0.014332,6.6e-08,0,0
-0.00088378,-2.1208e-05,0.014303,6.7e-08,0,0
-0.00086583,-2.1478e-05,0.014273,6.8e-08,0,0
-0.00084709,-2.1753e-05,0.014245,6.9e-08,0,0
-0.00082761,-2.2033e-05,0.014217,7e-08,0,0
-0.00080739,-2.2318e-05,0.014189,7.1e-08,0,0
-0.00078647,-2.2607e-05,0.014162,7.2e-08,0,0
-0.00076484,-2.2901e-05,0.014136,7.3e-08,0,0
-0.00074255,-2.3198e-05,0.014111,7.4e-08,0,0
-0.0007196,-2.3498e-05,0.014086,7.5e-08,0,0
-0.00069603,-2.3801e-05,0.014062,7.6e-08,0,0
-0.00067184,-2.4107e-05,0.014039,7.7e-08,0,0
-0.00064706,-2.4414e-05,0.014016,7.8e-08,0,0
-0.00062172,-2.4723e-05,0.013995,7.9e-08,0,0
-0.00059583,-2.5032e-05,0.013974,8e-08,0,0
-0.00056942,-2.5343e-05,0.013954,8.1e-08,0,0
-0.0005425,-2.5653e-05,0.013935,8.2e-08,0,0
-0.00051511,-2.5962e-05,0.013917,8.3e-08,0,0
-0.00048726,-2.6271e-05,0.0139,8.4e-08,0,0
-0.00045898,-2.6578e-05,0.013883,8.5e-08,0,0
-0.0004303,-2.6884e-05,0.013868,8.6e-08,0,0
-0.00040123,-2.7187e-05,0.013854,8.7e-08,0,0
-0.0003718,-2.7487e-05,0.01384,8.8e-08,0,0
-0.00034204,-2.7784e-05,0.013828,8.9e-08,0,0
-0.00031198,-2.8078e-05,0.013817,9e-08,0,0
-0.00028163,-2.8367e-05,0.013807,9.1e-08,0,0
-0.00025103,-2.8652e-05,0.013798,9.2e-08,0,0
-0.00022021,-2.8933e-05,0.013789,9.3e-08,0,0
-0.00018919,-2.9209e-05,0.013782,9.4e-08,0,0
-0.00015799,-2.9479e-05,0.013776,9.5e-08,0,0
-0.00012666,-2.9743e-05,0.013772,9.6e-08,0,0
-9.5209e-05,-3.0002e-05,0.013768,9.7e-08,0,0
-6.3672e-05,-3.0254e-05,0.013765,9.8e-08,0,0
-3.2079e-05,-3.05e-05,0.013763,9.9e-08,0,0
-4.5577e-07,-3.0739e-05,0.013763,1e-07,0,0
3.1167e-05,-3.0971e-05,0.013763,1.01e-07,0,0
6.2762e-05,-3.1195e-05,0.013765,1.02e-07,0,0
9.43e-05,-3.1412e-05,0.013768,1.03e-07,0,0
0.00012575,-3.1621e-05,0.013772,1.04e-07,0,0
0.00015709,-3.1821e-05,0.013776,1.05e-07,0,0
0.00018829,-3.2014e-05,0.013782,1.06e-07,0,0
0.00021931,-3.2198e-05,0.013789,1.07e-07,0,0
0.00025014,-3.2373e-05,0.013798,1.08e-07,0,0
0.00028074,-3.2539e-05,0.013807,1.09e-07,0,0
0.00031109,-3.2695e-05,0.013817,1.1e-07,0,0
0.00034117,-3.2842e-05,0.013828,1.11e-07,0,0
0.00037093,-3.298e-05,0.01384,1.12e-07,0,0
0.00040037,-3.3107e-05,0.013854,1.13e-07,0,0
0.00042944,-3.3225e-05,0.013868,1.14e-07,0,0
0.00045814,-3.3332e-05,0.013883,1.15e-07,0,0
0.00048643,-3.3428e-05,0.0139,1.16e-07,0,0
0.00051428,-3.3514e-05,0.013917,1.17e-07,0,0
0.00054169,-3.3588e-05,0.013935,1.18e-07,0,0
0.00056861,-3.3651e-05,0.013954,1.19e-07,0,0
0.00059503,-3.3703e-05,0.013974,1.2e-07,0,0
0.00062093,-3.3743e-05,0.013994,1.21e-07,0,0
0.00064629,-3.3772e-05,0.014016,1.22e-07,0,0
0.00067108,-3.3788e-05,0.014039,1.23e-07,0,0
0.00069528,-3.3793e-05,0.014062,1.24e-07,0,0
0.00071887,-3.3785e-05,0.014086,1.25e-07,0,0
0.00074182,-3.3764e-05,0.014111,1.26e-07,0,0
0.00076413,-3.3731e-05,0.014136,1.27e-07,0,0
0.00078577,-3.3686e-05,0.014162,1.28e-07,0,0
0.00080671,-3.3628e-05,0.014189,1.29e-07,0,0
0.00082694,-3.3557e-05,0.014217,1.3e-07,0,0
0.00084644,-3.3474e-05,0.014245,1.31e-07,0,0
0.00086518,-3.3379e-05,0.014273,1.32e-07,0,0
0.00088315,-3.3271e-05,0.014303,1.33e-07,0,0
0.00090033,-3.3152e-05,0.014332,1.34e-07,0,0
0.0009167,-3.302e-05,0.014362,1.35e-07,0,0
0.00093223,-3.2877e-05,0.014393,1.36e-07,0,0
0.00094691,-3.2723e-05,0.014424,1.37e-07,0,0
0.00096072,-3.2557e-05,0.014456,1.38e-07,0,0
0.00097364,-3.2382e-05,0.014488,1.39e-07,0,0
0.00098566,-3.2196e-05,0.01452,1.4e-07,0,0
0.00099675,-3.2001e-05,0.014552,1.41e-07,0,0
0.0010069,-3.1796e-05,0.014585,1.42e-07,0,0
0.0010161,-3.1583e-05,0.014618,1.43e-07,0,0
0.0010243,-3.1361e-05,0.014651,1.44e-07,0,0
0.0010315,-3.1132e-05,0.014685,1.45e-07,0,0
0.0010378,-3.0895e-05,0.014718,1.46e-07,0,0
0.001043,-3.0652e-05,0.014752,1.47e-07,0,0
0.0010472,-3.0402e-05,0.014785,1.48e-07,0,0
0.0010503,-3.0147e-05,0.014819,1.49e-07,0,0
0.0010524,-2.9887e-05,0.014853,1.5e-07,0,0
0.0010535,-2.9621e-05,0.014886,1.51e-07,0,0
0.0010535,-2.9351e-05,0.01492,1.52e-07,0,0
0.0010524,-2.9077e-05,0.014954,1.53e-07,0,0
0.0010503,-2.8799e-05,0.014987,1.54e-07,0,0
0.0010471,-2.8519e-05,0.01502,1.55e-07,0,0
0.0010429,-2.8235e-05,0.015053,1.56e-07,0,0
0.0010376,-2.7949e-05,0.015086,1.57e-07,0,0
0.0010312,-2.7661e-05,0.015118,1.58e-07,0,0
0.0010238,-2.7371e-05,0.015151,1.59e-07,0,0
0.0010153,-2.7079e-05,0.015183,1.6e-07,0,0
0.0010058,-2.6786e-05,0.015214,1.61e-07,0,0
0.00099521,-2.6493e-05,0.015245,1.62e-07,0,0
0.00098362,-2.6199e-05,0.015276,1.63e-07,0,0
0.00097102,-2.5905e-05,0.015306,1.64e-07,0,0
0.00095741,-2.561e-05,0.015336,1.65e-07,0,0
0.00094282,-2.5316e-05,0.015366,1.66e-07,0,0
0.00092725,-2.5023e-05,0.015395,1.67e-07,0,0
0.00091072,-2.473e-05,0.015423,1.68e-07,0,0
0.00089324,-2.4438e-05,0.015451,1.69e-07,0,0
0.00087485,-2.4147e-05,0.015478,1.7e-07,0,0
0.00085554,-2.3858e-05,0.015504,1.71e-07,0,0
0.00083535,-2.3571e-05,0.01553,1.72e-07,0,0
0.0008143,-2.3286e-05,0.015556,1.73e-07,0,0
0.00079241,-2.3002e-05,0.01558,1.74e-07,0,0
