"m_zrange130_:0","m_zrange130_:1","m_zrange130_:2","Points:0","Points:1","Points:2"
-0.0012879,0.0012879,1,0,0,0
-0.0012892,0.003863,0.99999,1e-09,0,0
-0.0012918,0.0064353,0.99998,2e-09,0,0
-0.0012957,0.0090033,0.99996,3e-09,0,0
-0.0013009,0.011565,0.99993,4e-09,0,0
-0.0013073,0.014119,0.9999,5e-09,0,0
-0.0013151,0.016663,0.99986,6e-09,0,0
-0.0013242,0.019196,0.99981,7e-09,0,0
-0.0013345,0.021716,0.99976,8e-09,0,0
-0.0013462,0.02422,0.99971,9e-09,0,0
-0.0013591,0.026708,0.99964,1e-08,0,0
-0.0013734,0.029177,0.99957,1.1e-08,0,0
-0.001389,0.031626,0.9995,1.2e-08,0,0
-0.0014059,0.034052,0.99942,1.3e-08,0,0
-0.0014241,0.036455,0.99933,1.4e-08,0,0
-0.0014436,0.038832,0.99924,1.5e-08,0,0
-0.0014644,0.041182,0.99915,1.6e-08,0,0
-0.0014866,0.043502,0.99905,1.7e-08,0,0
-0.00151,0.045791,0.99895,1.8e-08,0,0
-0.0015348,0.048047,0.99884,1.9e-08,0,0
-0.0015609,0.050268,0.99873,2e-08,0,0
-0.0015884,0.052452,0.99862,2.1e-08,0,0
-0.0016171,0.054599,0.99851,2.2e-08,0,0
-0.0016472,0.056705,0.99839,2.3e-08,0,0
-0.0016786,0.058768,0.99827,2.4e-08,0,0
-0.0017114,0.060788,0.99815,2.5e-08,0,0
-0.0017454,0.062762,0.99803,2.6e-08,0,0
-0.0017808,0.064688,0.9979,2.7e-08,0,0
-0.0018175,0.066565,0.99778,2.8e-08,0,0
-0.0018555,0.068391,0.99766,2.9e-08,0,0
-0.0018948,0.070163,0.99753,3e-08,0,0
-0.0019355,0.071881,0.99741,3.1e-08,0,0
-0.0019774,0.073542,0.99729,3.2e-08,0,0
-0.0020206,0.075144,0.99717,3.3e-08,0,0
-0.002065,0.076686,0.99705,3.4e-08,0,0
-0.0021108,0.078165,0.99694,3.5e-08,0,0
-0.0021578,0.07958,0.99683,3.6e-08,0,0
-0.002206,0.08093,0.99672,3.7e-08,0,0
-0.0022554,0.082212,0.99661,3.8e-08,0,0
-0.002306,0.083425,0.99651,3.9e-08,0,0
-0.0023578,0.084567,0.99641,4e-08,0,0
-0.0024108,0.085636,0.99632,4.1e-08,0,0
-0.0024649,0.086631,0.99624,4.2e-08,0,0
